id,prompt,BLIPScore
5_A woman on a scooter._4,A woman is showing a scooter to another woman.,0.23
5_A watermelon slice to a woman._0,A woman is showing a scooter to another woman.,-0.07
5_A watermelon slice to a woman._2,A woman is showing a scooter to another woman.,0.19
5_A watermelon slice to a woman._3,A woman is showing a scooter to another woman.,-0.14
5_A watermelon slice to a woman._4,A woman is showing a scooter to another woman.,0.10
5_A woman with a watermelon slice._1,A woman is showing a scooter to another woman.,0.63
5_A woman with a watermelon slice._2,A woman is showing a scooter to another woman.,0.32
5_A woman with a watermelon slice._3,A woman is showing a scooter to another woman.,-0.26
5_A woman with a watermelon slice._4,A woman is showing a scooter to another woman.,-0.02
5_A watermelon slice._0,A woman is showing a scooter to another woman.,-0.05
5_A watermelon slice._1,A woman is showing a scooter to another woman.,0.41
5_A watermelon slice._2,A woman is showing a scooter to another woman.,0.19
5_A watermelon slice._3,A woman is showing a scooter to another woman.,-0.09
5_A watermelon slice._4,A woman is showing a scooter to another woman.,0.14
5_A scooter._0,A woman is showing a scooter to another woman.,0.50
5_A scooter._1,A woman is showing a scooter to another woman.,-0.10
5_A scooter._2,A woman is showing a scooter to another woman.,0.08
5_A scooter._3,A woman is showing a scooter to another woman.,0.35
coco_494732_stable_diffusion_v2_1,A man in a green suiit leaning over a laptop,-0.09
6_A man in a green suit leaning over._0,A man in a green suiit leaning over a laptop,0.07
6_A man in a green suit leaning over._3,A man in a green suiit leaning over a laptop,0.19
6_A man in a green suit leaning over._4,A man in a green suiit leaning over a laptop,0.32
6_A man leaning over a laptop._0,A man in a green suiit leaning over a laptop,-0.08
6_A man leaning over a laptop._1,A man in a green suiit leaning over a laptop,0.19
6_A man leaning over a laptop._2,A man in a green suiit leaning over a laptop,-0.39
6_A man leaning over a laptop._4,A man in a green suiit leaning over a laptop,-0.20
6_A green suit._1,A man in a green suiit leaning over a laptop,0.09
6_A green suit._2,A man in a green suiit leaning over a laptop,0.94
6_A green suit._3,A man in a green suiit leaning over a laptop,0.22
6_A green suit._4,A man in a green suiit leaning over a laptop,0.11
6_A man leaning over._0,A man in a green suiit leaning over a laptop,0.15
6_A man leaning over._1,A man in a green suiit leaning over a laptop,-0.19
6_A man leaning over._3,A man in a green suiit leaning over a laptop,-0.16
6_A man leaning over._4,A man in a green suiit leaning over a laptop,-0.30
6_A laptop._1,A man in a green suiit leaning over a laptop,0.05
6_A laptop._2,A man in a green suiit leaning over a laptop,0.02
6_A laptop._3,A man in a green suiit leaning over a laptop,-0.28
6_A laptop._4,A man in a green suiit leaning over a laptop,-0.21
coco_492730_stable_diffusion_v2_1,A woman holding a racquet on top of a tennis court.,-0.19
7_A woman on top of a tennis court._0,A woman holding a racquet on top of a tennis court.,-0.63
7_A woman on top of a tennis court._1,A woman holding a racquet on top of a tennis court.,-0.54
7_A woman on top of a tennis court._2,A woman holding a racquet on top of a tennis court.,-0.25
7_A woman on top of a tennis court._3,A woman holding a racquet on top of a tennis court.,-0.33
7_A woman on top of a tennis court._4,A woman holding a racquet on top of a tennis court.,-0.60
7_A woman holding a racquet._0,A woman holding a racquet on top of a tennis court.,-0.52
7_A woman holding a racquet._1,A woman holding a racquet on top of a tennis court.,-0.51
7_A woman holding a racquet._2,A woman holding a racquet on top of a tennis court.,-0.52
7_A woman holding a racquet._3,A woman holding a racquet on top of a tennis court.,-0.67
7_A woman holding a racquet._4,A woman holding a racquet on top of a tennis court.,-0.76
7_A racquet in a tennis court._0,A woman holding a racquet on top of a tennis court.,-0.44
7_A racquet in a tennis court._1,A woman holding a racquet on top of a tennis court.,-0.47
7_A racquet in a tennis court._2,A woman holding a racquet on top of a tennis court.,-0.49
7_A racquet in a tennis court._3,A woman holding a racquet on top of a tennis court.,-0.88
7_A racquet in a tennis court._4,A woman holding a racquet on top of a tennis court.,0.04
7_A tennis court._0,A woman holding a racquet on top of a tennis court.,-0.75
7_A tennis court._1,A woman holding a racquet on top of a tennis court.,-0.57
7_A tennis court._2,A woman holding a racquet on top of a tennis court.,-0.71
7_A tennis court._3,A woman holding a racquet on top of a tennis court.,-0.12
7_A tennis court._4,A woman holding a racquet on top of a tennis court.,-0.42
7_A woman._0,A woman holding a racquet on top of a tennis court.,-0.41
7_A woman._2,A woman holding a racquet on top of a tennis court.,-0.80
7_A woman._3,A woman holding a racquet on top of a tennis court.,-0.52
7_A racquet._0,A woman holding a racquet on top of a tennis court.,-0.88
7_A racquet._1,A woman holding a racquet on top of a tennis court.,-0.40
7_A racquet._2,A woman holding a racquet on top of a tennis court.,-1.02
7_A racquet._3,A woman holding a racquet on top of a tennis court.,-0.53
7_A racquet._4,A woman holding a racquet on top of a tennis court.,-0.42
8_two laptops a mouse cords wires and a monitor_0,One laptop a mouse cords wires and a monitor.,-0.77
"8_Two laptops, a mouse, cords, and a monitor._2",One laptop a mouse cords wires and a monitor.,-0.72
"8_Two laptops, a mouse, cords, and a monitor._3",One laptop a mouse cords wires and a monitor.,-1.02
"8_Two laptops, cords, wires, and a monitor._2",One laptop a mouse cords wires and a monitor.,-0.27
"8_Two laptops, cords, wires, and a monitor._3",One laptop a mouse cords wires and a monitor.,-0.64
"8_Two laptops, a mouse, cords, and wires._2",One laptop a mouse cords wires and a monitor.,-0.31
"8_Two laptops, a mouse, cords, and wires._4",One laptop a mouse cords wires and a monitor.,-0.58
"8_Two laptops, a mouse, and a monitor._2",One laptop a mouse cords wires and a monitor.,-0.96
"8_Two laptops, cords, and wires._0",One laptop a mouse cords wires and a monitor.,-0.16
"8_Two laptops, cords, and wires._1",One laptop a mouse cords wires and a monitor.,-0.38
"8_Two laptops, cords, and wires._2",One laptop a mouse cords wires and a monitor.,-0.41
"8_Two laptops, cords, and wires._3",One laptop a mouse cords wires and a monitor.,-0.42
"8_Two laptops, cords, and wires._4",One laptop a mouse cords wires and a monitor.,-0.32
"8_Two laptops, a mouse, and wires._0",One laptop a mouse cords wires and a monitor.,-0.70
"8_Two laptops, a mouse, and wires._1",One laptop a mouse cords wires and a monitor.,-0.44
"8_Two laptops, a mouse, and wires._2",One laptop a mouse cords wires and a monitor.,-0.42
"8_Two laptops, cords, and a monitor._2",One laptop a mouse cords wires and a monitor.,-0.50
"8_Two laptops, cords, and a monitor._3",One laptop a mouse cords wires and a monitor.,-0.74
"8_Two laptops, a mouse, and cords._2",One laptop a mouse cords wires and a monitor.,-0.38
"8_Two laptops, a mouse, and cords._3",One laptop a mouse cords wires and a monitor.,-0.62
"8_Two laptops, a mouse, and cords._4",One laptop a mouse cords wires and a monitor.,-0.54
"8_Two laptops, and a monitor._0",One laptop a mouse cords wires and a monitor.,-0.78
"8_Two laptops, and a monitor._2",One laptop a mouse cords wires and a monitor.,-0.49
"8_Two laptops, and a monitor._3",One laptop a mouse cords wires and a monitor.,-1.17
"8_Two laptops, and a monitor._4",One laptop a mouse cords wires and a monitor.,-0.23
"8_Two laptops, and wires._0",One laptop a mouse cords wires and a monitor.,-0.57
"8_Two laptops, and wires._1",One laptop a mouse cords wires and a monitor.,-0.56
"8_Two laptops, and wires._2",One laptop a mouse cords wires and a monitor.,-0.46
"8_Two laptops, and wires._3",One laptop a mouse cords wires and a monitor.,-0.51
"8_Two laptops, and wires._4",One laptop a mouse cords wires and a monitor.,-0.71
"8_Two laptops, and cords._0",One laptop a mouse cords wires and a monitor.,-0.25
"8_Two laptops, and cords._2",One laptop a mouse cords wires and a monitor.,-0.49
"8_Two laptops, and cords._3",One laptop a mouse cords wires and a monitor.,-0.18
"8_Two laptops, and cords._4",One laptop a mouse cords wires and a monitor.,-0.57
8_Two laptops._0,One laptop a mouse cords wires and a monitor.,-0.41
8_Two laptops._1,One laptop a mouse cords wires and a monitor.,-0.19
8_Two laptops._2,One laptop a mouse cords wires and a monitor.,-0.06
8_Two laptops._3,One laptop a mouse cords wires and a monitor.,-0.05
8_Two laptops._4,One laptop a mouse cords wires and a monitor.,-0.42
8_A mouse._0,One laptop a mouse cords wires and a monitor.,0.17
8_A mouse._1,One laptop a mouse cords wires and a monitor.,0.11
8_A mouse._2,One laptop a mouse cords wires and a monitor.,-0.18
8_A mouse._3,One laptop a mouse cords wires and a monitor.,-0.15
8_A mouse._4,One laptop a mouse cords wires and a monitor.,0.19
8_Cords._0,One laptop a mouse cords wires and a monitor.,-0.68
8_Cords._1,One laptop a mouse cords wires and a monitor.,-0.32
8_Cords._2,One laptop a mouse cords wires and a monitor.,-0.22
8_Cords._3,One laptop a mouse cords wires and a monitor.,-0.47
8_Cords._4,One laptop a mouse cords wires and a monitor.,-0.68
8_A monitor._0,One laptop a mouse cords wires and a monitor.,-0.34
8_A monitor._1,One laptop a mouse cords wires and a monitor.,-0.21
8_A monitor._2,One laptop a mouse cords wires and a monitor.,-0.05
8_A monitor._3,One laptop a mouse cords wires and a monitor.,-0.45
8_A monitor._4,One laptop a mouse cords wires and a monitor.,-0.16
coco_98071_stable_diffusion_v2_1,A young man in a suit and tie with a beer in his hand.,-0.51
9_A young man in a suit with a beer in his hand._0,A young man in a suit and tie with a beer in his hand.,0.46
9_A young man in a suit with a beer in his hand._1,A young man in a suit and tie with a beer in his hand.,0.69
9_A young man in a suit with a beer in his hand._2,A young man in a suit and tie with a beer in his hand.,-0.09
9_A young man in a suit with a beer in his hand._4,A young man in a suit and tie with a beer in his hand.,0.45
9_A young man in a tie with a beer in his hand._0,A young man in a suit and tie with a beer in his hand.,0.36
9_A young man in a tie with a beer in his hand._1,A young man in a suit and tie with a beer in his hand.,0.37
9_A young man in a tie with a beer in his hand._2,A young man in a suit and tie with a beer in his hand.,-0.30
9_A young man in a tie with a beer in his hand._3,A young man in a suit and tie with a beer in his hand.,-0.02
9_A young man in a tie with a beer in his hand._4,A young man in a suit and tie with a beer in his hand.,0.11
9_A young man in a suit and tie with a beer._1,A young man in a suit and tie with a beer in his hand.,0.79
9_A young man in a suit and tie with a beer._4,A young man in a suit and tie with a beer in his hand.,0.36
9_A young man with a beer in his hand._0,A young man in a suit and tie with a beer in his hand.,0.12
9_A young man with a beer in his hand._1,A young man in a suit and tie with a beer in his hand.,-0.31
9_A young man with a beer in his hand._2,A young man in a suit and tie with a beer in his hand.,0.03
9_A young man with a beer in his hand._3,A young man in a suit and tie with a beer in his hand.,-0.25
9_A young man with a beer in his hand._4,A young man in a suit and tie with a beer in his hand.,-0.53
9_A young man in a suit and tie._0,A young man in a suit and tie with a beer in his hand.,-0.66
9_A young man in a suit and tie._1,A young man in a suit and tie with a beer in his hand.,-0.36
9_A young man in a suit and tie._2,A young man in a suit and tie with a beer in his hand.,-0.09
9_A young man in a suit and tie._3,A young man in a suit and tie with a beer in his hand.,-0.31
9_A young man in a suit and tie._4,A young man in a suit and tie with a beer in his hand.,-0.21
9_A young man in a suit with a beer._0,A young man in a suit and tie with a beer in his hand.,0.22
9_A young man in a suit with a beer._2,A young man in a suit and tie with a beer in his hand.,0.11
9_A young man in a suit with a beer._3,A young man in a suit and tie with a beer in his hand.,0.52
9_A young man in a suit with a beer._4,A young man in a suit and tie with a beer in his hand.,0.22
9_A young man in a tie with a beer._0,A young man in a suit and tie with a beer in his hand.,-0.08
9_A young man in a tie with a beer._1,A young man in a suit and tie with a beer in his hand.,0.35
9_A young man in a tie with a beer._2,A young man in a suit and tie with a beer in his hand.,-0.06
9_A young man in a tie with a beer._3,A young man in a suit and tie with a beer in his hand.,0.41
9_A young man in a tie with a beer._4,A young man in a suit and tie with a beer in his hand.,0.01
9_A young man in a suit._0,A young man in a suit and tie with a beer in his hand.,-0.57
9_A young man in a suit._1,A young man in a suit and tie with a beer in his hand.,-0.24
9_A young man in a suit._2,A young man in a suit and tie with a beer in his hand.,-0.19
9_A young man in a suit._3,A young man in a suit and tie with a beer in his hand.,-0.02
9_A young man in a suit._4,A young man in a suit and tie with a beer in his hand.,-0.03
9_A young man in a tie._0,A young man in a suit and tie with a beer in his hand.,-0.79
9_A young man in a tie._1,A young man in a suit and tie with a beer in his hand.,-0.49
9_A young man in a tie._2,A young man in a suit and tie with a beer in his hand.,-0.36
9_A young man in a tie._3,A young man in a suit and tie with a beer in his hand.,-0.50
9_A young man in a tie._4,A young man in a suit and tie with a beer in his hand.,-0.50
9_A young man with a beer._0,A young man in a suit and tie with a beer in his hand.,-0.02
9_A young man with a beer._1,A young man in a suit and tie with a beer in his hand.,0.13
9_A young man with a beer._2,A young man in a suit and tie with a beer in his hand.,0.40
9_A young man with a beer._3,A young man in a suit and tie with a beer in his hand.,-0.24
9_A young man with a beer._4,A young man in a suit and tie with a beer in his hand.,-0.06
9_A beer in his hand._0,A young man in a suit and tie with a beer in his hand.,-0.35
9_A beer in his hand._1,A young man in a suit and tie with a beer in his hand.,-0.06
9_A beer in his hand._2,A young man in a suit and tie with a beer in his hand.,-0.13
9_A beer in his hand._3,A young man in a suit and tie with a beer in his hand.,0.15
9_A beer in his hand._4,A young man in a suit and tie with a beer in his hand.,0.15
9_A suit and tie._0,A young man in a suit and tie with a beer in his hand.,0.09
9_A suit and tie._1,A young man in a suit and tie with a beer in his hand.,0.18
9_A suit and tie._3,A young man in a suit and tie with a beer in his hand.,0.29
9_A suit and tie._4,A young man in a suit and tie with a beer in his hand.,-0.54
9_A young man._0,A young man in a suit and tie with a beer in his hand.,-0.72
9_A young man._1,A young man in a suit and tie with a beer in his hand.,-0.54
9_A young man._2,A young man in a suit and tie with a beer in his hand.,-0.51
9_A young man._3,A young man in a suit and tie with a beer in his hand.,-0.54
9_A young man._4,A young man in a suit and tie with a beer in his hand.,-0.82
9_A suit._0,A young man in a suit and tie with a beer in his hand.,0.47
9_A suit._1,A young man in a suit and tie with a beer in his hand.,0.22
9_A suit._2,A young man in a suit and tie with a beer in his hand.,0.28
9_A suit._3,A young man in a suit and tie with a beer in his hand.,0.33
9_A suit._4,A young man in a suit and tie with a beer in his hand.,-0.15
9_A tie._3,A young man in a suit and tie with a beer in his hand.,0.27
9_A tie._4,A young man in a suit and tie with a beer in his hand.,-0.32
9_A beer._0,A young man in a suit and tie with a beer in his hand.,-0.05
9_A beer._1,A young man in a suit and tie with a beer in his hand.,-0.19
9_A beer._2,A young man in a suit and tie with a beer in his hand.,0.03
9_A beer._3,A young man in a suit and tie with a beer in his hand.,0.56
9_A hand._0,A young man in a suit and tie with a beer in his hand.,-0.35
9_A hand._1,A young man in a suit and tie with a beer in his hand.,-0.64
9_A hand._2,A young man in a suit and tie with a beer in his hand.,-0.33
9_A hand._3,A young man in a suit and tie with a beer in his hand.,-0.25
9_A hand._4,A young man in a suit and tie with a beer in his hand.,-0.28
coco_144234_stable_diffusion_v2_1,A man is eating a loaded hot dog with people around him.,-0.76
10_A man is eating a loaded hot dog with people around him in a line._0,A man is eating a loaded hot dog with people around him.,-0.54
10_A man is eating a loaded hot dog with people around him in a line._1,A man is eating a loaded hot dog with people around him.,-0.12
10_A man is eating a loaded hot dog with people around him in a line._2,A man is eating a loaded hot dog with people around him.,0.36
10_A man is eating a loaded hot dog with people around him in a line._3,A man is eating a loaded hot dog with people around him.,-0.16
10_A man is eating a loaded hot dog with people around him in a line._4,A man is eating a loaded hot dog with people around him.,-0.27
10_A man is eating a loaded hot dog with people around him._0,A man is eating a loaded hot dog with people around him.,0.15
10_A man is eating a loaded hot dog with people around him._1,A man is eating a loaded hot dog with people around him.,-0.26
10_A man is eating a loaded hot dog with people around him._2,A man is eating a loaded hot dog with people around him.,0.32
10_A man is eating a loaded hot dog with people around him._3,A man is eating a loaded hot dog with people around him.,-0.13
10_A man is eating a loaded hot dog with people around him._4,A man is eating a loaded hot dog with people around him.,-0.24
10_A man is eating a loaded hot dog in a line._0,A man is eating a loaded hot dog with people around him.,-0.23
10_A man is eating a loaded hot dog in a line._3,A man is eating a loaded hot dog with people around him.,-0.60
10_Eating a loaded hot dog with people around in a line._0,A man is eating a loaded hot dog with people around him.,-0.27
10_Eating a loaded hot dog with people around in a line._1,A man is eating a loaded hot dog with people around him.,-0.31
10_Eating a loaded hot dog with people around in a line._2,A man is eating a loaded hot dog with people around him.,0.25
10_Eating a loaded hot dog with people around in a line._3,A man is eating a loaded hot dog with people around him.,-0.09
10_Eating a loaded hot dog with people around in a line._4,A man is eating a loaded hot dog with people around him.,0.05
10_A man with people around him in a line._0,A man is eating a loaded hot dog with people around him.,-0.35
10_A man with people around him in a line._1,A man is eating a loaded hot dog with people around him.,-0.35
10_A man with people around him in a line._2,A man is eating a loaded hot dog with people around him.,-0.66
10_A man with people around him in a line._3,A man is eating a loaded hot dog with people around him.,0.01
10_A man with people around him in a line._4,A man is eating a loaded hot dog with people around him.,-0.30
10_A man is eating a loaded hot dog._0,A man is eating a loaded hot dog with people around him.,-0.76
10_A man is eating a loaded hot dog._1,A man is eating a loaded hot dog with people around him.,-0.76
10_A man is eating a loaded hot dog._2,A man is eating a loaded hot dog with people around him.,-0.51
10_A man is eating a loaded hot dog._3,A man is eating a loaded hot dog with people around him.,-0.39
10_A man is eating a loaded hot dog._4,A man is eating a loaded hot dog with people around him.,-0.40
10_People around him in a line._0,A man is eating a loaded hot dog with people around him.,-0.17
10_People around him in a line._1,A man is eating a loaded hot dog with people around him.,-0.52
10_People around him in a line._2,A man is eating a loaded hot dog with people around him.,-0.52
10_People around him in a line._3,A man is eating a loaded hot dog with people around him.,0.19
10_People around him in a line._4,A man is eating a loaded hot dog with people around him.,-0.41
10_A man with people around him._0,A man is eating a loaded hot dog with people around him.,0.26
10_A man with people around him._1,A man is eating a loaded hot dog with people around him.,-0.06
10_A man with people around him._2,A man is eating a loaded hot dog with people around him.,-0.03
10_A man with people around him._3,A man is eating a loaded hot dog with people around him.,-0.17
10_A man with people around him._4,A man is eating a loaded hot dog with people around him.,0.12
10_A man in a line._0,A man is eating a loaded hot dog with people around him.,-0.53
10_A man in a line._1,A man is eating a loaded hot dog with people around him.,-0.91
10_A man in a line._2,A man is eating a loaded hot dog with people around him.,-0.62
10_A man in a line._4,A man is eating a loaded hot dog with people around him.,-1.57
10_A man is eating._0,A man is eating a loaded hot dog with people around him.,-0.53
10_A man is eating._1,A man is eating a loaded hot dog with people around him.,-0.21
10_A man is eating._2,A man is eating a loaded hot dog with people around him.,-0.29
10_A man is eating._3,A man is eating a loaded hot dog with people around him.,-1.06
10_A man is eating._4,A man is eating a loaded hot dog with people around him.,-0.28
10_Eating a loaded hot dog._2,A man is eating a loaded hot dog with people around him.,-0.31
10_Eating a loaded hot dog._4,A man is eating a loaded hot dog with people around him.,-0.40
10_People._0,A man is eating a loaded hot dog with people around him.,0.31
10_People._3,A man is eating a loaded hot dog with people around him.,0.04
10_People._4,A man is eating a loaded hot dog with people around him.,0.87
coco_680517_stable_diffusion_v2_1,A man in a wet suit is surfing.,-0.09
11_A man is surfing._0,A man in a wet suit is surfing.,0.53
11_A man is surfing._1,A man in a wet suit is surfing.,0.18
11_A man is surfing._2,A man in a wet suit is surfing.,0.40
11_A man is surfing._3,A man in a wet suit is surfing.,0.11
11_A man is surfing._4,A man in a wet suit is surfing.,0.25
11_A man in a wet suit._0,A man in a wet suit is surfing.,-0.25
11_A man in a wet suit._1,A man in a wet suit is surfing.,0.13
11_A man in a wet suit._2,A man in a wet suit is surfing.,-0.04
11_A man in a wet suit._3,A man in a wet suit is surfing.,0.31
11_A man in a wet suit._4,A man in a wet suit is surfing.,0.23
13_A man._3,A man in a wet suit is surfing.,-0.36
13_A man._4,A man in a wet suit is surfing.,-0.09
coco_292534_stable_diffusion_v2_1,A red motorcycle parked by paint chipped doors.,-0.98
12_A red motorcycle._0,A red motorcycle parked by paint chipped doors.,-0.37
12_A red motorcycle._1,A red motorcycle parked by paint chipped doors.,-0.47
12_A red motorcycle._2,A red motorcycle parked by paint chipped doors.,-0.31
12_A red motorcycle._3,A red motorcycle parked by paint chipped doors.,-0.09
12_A red motorcycle._4,A red motorcycle parked by paint chipped doors.,-0.87
12_Paint chipped doors._0,A red motorcycle parked by paint chipped doors.,-0.25
12_Paint chipped doors._1,A red motorcycle parked by paint chipped doors.,-0.82
12_Paint chipped doors._2,A red motorcycle parked by paint chipped doors.,-0.76
12_Paint chipped doors._3,A red motorcycle parked by paint chipped doors.,-0.51
12_Paint chipped doors._4,A red motorcycle parked by paint chipped doors.,-0.43
coco_655658_stable_diffusion_v2_1,A man in a black shirt plays on an ocean wave.,-0.14
13_A man plays on an ocean wave._0,A man in a black shirt plays on an ocean wave.,0.36
13_A man plays on an ocean wave._1,A man in a black shirt plays on an ocean wave.,0.23
13_A man plays on an ocean wave._2,A man in a black shirt plays on an ocean wave.,0.20
13_A man plays on an ocean wave._3,A man in a black shirt plays on an ocean wave.,-0.25
13_A man plays on an ocean wave._4,A man in a black shirt plays on an ocean wave.,0.26
13_A man in a black shirt plays._0,A man in a black shirt plays on an ocean wave.,-0.30
13_A man in a black shirt plays._1,A man in a black shirt plays on an ocean wave.,0.16
13_A man in a black shirt plays._2,A man in a black shirt plays on an ocean wave.,0.00
13_A man in a black shirt plays._3,A man in a black shirt plays on an ocean wave.,-0.41
13_A man in a black shirt plays._4,A man in a black shirt plays on an ocean wave.,0.11
13_A man._3,A man in a black shirt plays on an ocean wave.,-0.44
13_A man._4,A man in a black shirt plays on an ocean wave.,-0.22
13_A black shirt._1,A man in a black shirt plays on an ocean wave.,0.38
13_A black shirt._2,A man in a black shirt plays on an ocean wave.,0.01
