id,prompt,CLIPScore
2_A brown bear surrounded by trees._0,A brown bear walking across a forest surrounded by trees..,33.30
2_A brown bear surrounded by trees._1,A brown bear walking across a forest surrounded by trees..,32.31
2_A brown bear surrounded by trees._2,A brown bear walking across a forest surrounded by trees..,32.67
2_A brown bear surrounded by trees._3,A brown bear walking across a forest surrounded by trees..,32.87
2_A brown bear surrounded by trees._4,A brown bear walking across a forest surrounded by trees..,33.46
2_A forest surrounded by trees._0,A brown bear walking across a forest surrounded by trees..,24.16
2_A forest surrounded by trees._1,A brown bear walking across a forest surrounded by trees..,24.39
2_A forest surrounded by trees._2,A brown bear walking across a forest surrounded by trees..,25.77
2_A forest surrounded by trees._3,A brown bear walking across a forest surrounded by trees..,26.39
2_A forest surrounded by trees._4,A brown bear walking across a forest surrounded by trees..,24.83
2_Forest._0,A brown bear walking across a forest surrounded by trees..,24.60
2_Forest._1,A brown bear walking across a forest surrounded by trees..,25.35
2_Forest._2,A brown bear walking across a forest surrounded by trees..,24.74
2_Forest._3,A brown bear walking across a forest surrounded by trees..,24.15
2_Forest._4,A brown bear walking across a forest surrounded by trees..,25.74
2_Trees._0,A brown bear walking across a forest surrounded by trees..,20.21
coco_483317_stable_diffusion_v2_1,A large motorcycle that is sitting outside of a building.,30.68
3_A large motorcycle that is sitting._0,A large motorcycle that is sitting outside of a building.,28.67
3_A large motorcycle that is sitting._1,A large motorcycle that is sitting outside of a building.,29.84
3_A large motorcycle that is sitting._2,A large motorcycle that is sitting outside of a building.,33.45
3_A large motorcycle that is sitting._3,A large motorcycle that is sitting outside of a building.,27.97
3_A large motorcycle that is sitting._4,A large motorcycle that is sitting outside of a building.,29.00
3_Outside of a building._0,A large motorcycle that is sitting outside of a building.,20.68
3_Outside of a building._1,A large motorcycle that is sitting outside of a building.,20.43
3_Outside of a building._2,A large motorcycle that is sitting outside of a building.,24.43
3_Outside of a building._3,A large motorcycle that is sitting outside of a building.,21.41
3_Outside of a building._4,A large motorcycle that is sitting outside of a building.,22.46
coco_361740_stable_diffusion_v2_1,A male skateboarder is trying to pull off a trick on the ramp.,31.30
4_A male skateboarder on the ramp._0,A male skateboarder is trying to pull off a trick on the ramp.,30.40
4_A male skateboarder on the ramp._1,A male skateboarder is trying to pull off a trick on the ramp.,31.44
4_A male skateboarder on the ramp._2,A male skateboarder is trying to pull off a trick on the ramp.,31.13
4_A male skateboarder on the ramp._3,A male skateboarder is trying to pull off a trick on the ramp.,31.36
4_A male skateboarder is trying to pull off a trick._0,A male skateboarder is trying to pull off a trick on the ramp.,28.94
4_A male skateboarder is trying to pull off a trick._1,A male skateboarder is trying to pull off a trick on the ramp.,32.25
4_A male skateboarder is trying to pull off a trick._2,A male skateboarder is trying to pull off a trick on the ramp.,31.32
4_A male skateboarder is trying to pull off a trick._4,A male skateboarder is trying to pull off a trick on the ramp.,31.40
4_Pulling off a trick on the ramp._0,A male skateboarder is trying to pull off a trick on the ramp.,29.35
4_Pulling off a trick on the ramp._1,A male skateboarder is trying to pull off a trick on the ramp.,28.07
4_Pulling off a trick on the ramp._2,A male skateboarder is trying to pull off a trick on the ramp.,28.77
4_Pulling off a trick on the ramp._3,A male skateboarder is trying to pull off a trick on the ramp.,28.07
4_Pulling off a trick on the ramp._4,A male skateboarder is trying to pull off a trick on the ramp.,28.49
5_A woman is showing a woman on a scooter._0,A woman is showing a scooter to another woman.,32.07
5_A woman is showing a woman on a scooter._1,A woman is showing a scooter to another woman.,33.57
5_A woman is showing a woman on a scooter._2,A woman is showing a scooter to another woman.,34.08
5_A woman is showing a woman on a scooter._3,A woman is showing a scooter to another woman.,35.91
5_A woman is showing a woman on a scooter._4,A woman is showing a scooter to another woman.,35.40
5_A woman is showing a watermelon slice to a woman._0,A woman is showing a scooter to another woman.,21.24
5_A woman is showing a watermelon slice to a woman._1,A woman is showing a scooter to another woman.,25.80
5_A woman is showing a watermelon slice to a woman._2,A woman is showing a scooter to another woman.,25.00
5_A woman is showing a watermelon slice to a woman._3,A woman is showing a scooter to another woman.,25.94
5_A woman is showing a watermelon slice to a woman._4,A woman is showing a scooter to another woman.,26.34
5_A woman on a scooter._0,A woman is showing a scooter to another woman.,30.11
5_A woman on a scooter._1,A woman is showing a scooter to another woman.,28.82
5_A woman on a scooter._2,A woman is showing a scooter to another woman.,30.57
5_A woman on a scooter._3,A woman is showing a scooter to another woman.,30.78
5_A woman on a scooter._4,A woman is showing a scooter to another woman.,29.97
5_A watermelon slice to a woman._0,A woman is showing a scooter to another woman.,19.27
5_A watermelon slice to a woman._2,A woman is showing a scooter to another woman.,18.92
5_A watermelon slice to a woman._3,A woman is showing a scooter to another woman.,18.99
5_A watermelon slice to a woman._4,A woman is showing a scooter to another woman.,18.53
5_A woman with a watermelon slice._1,A woman is showing a scooter to another woman.,18.86
5_A woman with a watermelon slice._2,A woman is showing a scooter to another woman.,18.21
5_A woman with a watermelon slice._3,A woman is showing a scooter to another woman.,19.91
5_A woman with a watermelon slice._4,A woman is showing a scooter to another woman.,18.05
5_A watermelon slice._0,A woman is showing a scooter to another woman.,14.54
5_A watermelon slice._1,A woman is showing a scooter to another woman.,15.89
5_A watermelon slice._2,A woman is showing a scooter to another woman.,16.73
5_A watermelon slice._3,A woman is showing a scooter to another woman.,16.00
5_A watermelon slice._4,A woman is showing a scooter to another woman.,15.57
5_A scooter._0,A woman is showing a scooter to another woman.,25.70
5_A scooter._1,A woman is showing a scooter to another woman.,28.63
5_A scooter._2,A woman is showing a scooter to another woman.,30.50
5_A scooter._3,A woman is showing a scooter to another woman.,28.99
coco_494732_stable_diffusion_v2_1,A man in a green suiit leaning over a laptop,29.09
6_A man in a green suit leaning over._0,A man in a green suiit leaning over a laptop,25.79
6_A man in a green suit leaning over._3,A man in a green suiit leaning over a laptop,24.29
6_A man in a green suit leaning over._4,A man in a green suiit leaning over a laptop,25.57
6_A man leaning over a laptop._0,A man in a green suiit leaning over a laptop,27.91
6_A man leaning over a laptop._1,A man in a green suiit leaning over a laptop,28.55
6_A man leaning over a laptop._2,A man in a green suiit leaning over a laptop,28.60
6_A man leaning over a laptop._4,A man in a green suiit leaning over a laptop,27.21
6_A green suit._1,A man in a green suiit leaning over a laptop,26.50
6_A green suit._2,A man in a green suiit leaning over a laptop,25.06
6_A green suit._3,A man in a green suiit leaning over a laptop,26.56
6_A green suit._4,A man in a green suiit leaning over a laptop,26.51
6_A man leaning over._0,A man in a green suiit leaning over a laptop,21.63
6_A man leaning over._1,A man in a green suiit leaning over a laptop,22.46
6_A man leaning over._3,A man in a green suiit leaning over a laptop,23.06
6_A man leaning over._4,A man in a green suiit leaning over a laptop,22.55
6_A laptop._1,A man in a green suiit leaning over a laptop,27.13
6_A laptop._2,A man in a green suiit leaning over a laptop,25.57
6_A laptop._3,A man in a green suiit leaning over a laptop,26.13
6_A laptop._4,A man in a green suiit leaning over a laptop,26.70
coco_492730_stable_diffusion_v2_1,A woman holding a racquet on top of a tennis court.,29.82
7_A woman on top of a tennis court._0,A woman holding a racquet on top of a tennis court.,27.45
7_A woman on top of a tennis court._1,A woman holding a racquet on top of a tennis court.,31.55
7_A woman on top of a tennis court._2,A woman holding a racquet on top of a tennis court.,29.82
7_A woman on top of a tennis court._3,A woman holding a racquet on top of a tennis court.,30.63
7_A woman on top of a tennis court._4,A woman holding a racquet on top of a tennis court.,29.16
7_A woman holding a racquet._0,A woman holding a racquet on top of a tennis court.,28.09
7_A woman holding a racquet._1,A woman holding a racquet on top of a tennis court.,32.01
7_A woman holding a racquet._2,A woman holding a racquet on top of a tennis court.,28.36
7_A woman holding a racquet._3,A woman holding a racquet on top of a tennis court.,27.20
7_A woman holding a racquet._4,A woman holding a racquet on top of a tennis court.,29.30
7_A racquet in a tennis court._0,A woman holding a racquet on top of a tennis court.,25.61
7_A racquet in a tennis court._1,A woman holding a racquet on top of a tennis court.,23.37
7_A racquet in a tennis court._2,A woman holding a racquet on top of a tennis court.,26.12
7_A racquet in a tennis court._3,A woman holding a racquet on top of a tennis court.,25.11
7_A racquet in a tennis court._4,A woman holding a racquet on top of a tennis court.,24.12
7_A tennis court._0,A woman holding a racquet on top of a tennis court.,23.10
7_A tennis court._1,A woman holding a racquet on top of a tennis court.,23.70
7_A tennis court._2,A woman holding a racquet on top of a tennis court.,24.11
7_A tennis court._3,A woman holding a racquet on top of a tennis court.,24.54
7_A tennis court._4,A woman holding a racquet on top of a tennis court.,25.46
7_A woman._0,A woman holding a racquet on top of a tennis court.,20.72
7_A woman._2,A woman holding a racquet on top of a tennis court.,16.00
7_A woman._3,A woman holding a racquet on top of a tennis court.,20.42
7_A racquet._0,A woman holding a racquet on top of a tennis court.,27.79
7_A racquet._1,A woman holding a racquet on top of a tennis court.,26.27
7_A racquet._2,A woman holding a racquet on top of a tennis court.,23.90
7_A racquet._3,A woman holding a racquet on top of a tennis court.,27.06
7_A racquet._4,A woman holding a racquet on top of a tennis court.,28.66
8_two laptops a mouse cords wires and a monitor_0,One laptop a mouse cords wires and a monitor.,27.67
"8_Two laptops, a mouse, cords, and a monitor._2",One laptop a mouse cords wires and a monitor.,29.41
"8_Two laptops, a mouse, cords, and a monitor._3",One laptop a mouse cords wires and a monitor.,29.69
"8_Two laptops, cords, wires, and a monitor._2",One laptop a mouse cords wires and a monitor.,30.07
"8_Two laptops, cords, wires, and a monitor._3",One laptop a mouse cords wires and a monitor.,29.03
"8_Two laptops, a mouse, cords, and wires._2",One laptop a mouse cords wires and a monitor.,26.83
"8_Two laptops, a mouse, cords, and wires._4",One laptop a mouse cords wires and a monitor.,27.75
"8_Two laptops, a mouse, and a monitor._2",One laptop a mouse cords wires and a monitor.,27.19
"8_Two laptops, cords, and wires._0",One laptop a mouse cords wires and a monitor.,26.41
"8_Two laptops, cords, and wires._1",One laptop a mouse cords wires and a monitor.,26.40
"8_Two laptops, cords, and wires._2",One laptop a mouse cords wires and a monitor.,25.38
"8_Two laptops, cords, and wires._3",One laptop a mouse cords wires and a monitor.,28.06
"8_Two laptops, cords, and wires._4",One laptop a mouse cords wires and a monitor.,26.04
"8_Two laptops, a mouse, and wires._0",One laptop a mouse cords wires and a monitor.,26.96
"8_Two laptops, a mouse, and wires._1",One laptop a mouse cords wires and a monitor.,25.24
"8_Two laptops, a mouse, and wires._2",One laptop a mouse cords wires and a monitor.,27.44
"8_Two laptops, cords, and a monitor._2",One laptop a mouse cords wires and a monitor.,29.10
"8_Two laptops, cords, and a monitor._3",One laptop a mouse cords wires and a monitor.,28.43
"8_Two laptops, a mouse, and cords._2",One laptop a mouse cords wires and a monitor.,27.48
"8_Two laptops, a mouse, and cords._3",One laptop a mouse cords wires and a monitor.,27.93
"8_Two laptops, a mouse, and cords._4",One laptop a mouse cords wires and a monitor.,27.54
"8_Two laptops, and a monitor._0",One laptop a mouse cords wires and a monitor.,25.82
"8_Two laptops, and a monitor._2",One laptop a mouse cords wires and a monitor.,26.79
"8_Two laptops, and a monitor._3",One laptop a mouse cords wires and a monitor.,28.81
"8_Two laptops, and a monitor._4",One laptop a mouse cords wires and a monitor.,25.61
"8_Two laptops, and wires._0",One laptop a mouse cords wires and a monitor.,25.34
"8_Two laptops, and wires._1",One laptop a mouse cords wires and a monitor.,28.54
"8_Two laptops, and wires._2",One laptop a mouse cords wires and a monitor.,27.77
"8_Two laptops, and wires._3",One laptop a mouse cords wires and a monitor.,27.04
"8_Two laptops, and wires._4",One laptop a mouse cords wires and a monitor.,25.96
"8_Two laptops, and cords._0",One laptop a mouse cords wires and a monitor.,25.95
"8_Two laptops, and cords._2",One laptop a mouse cords wires and a monitor.,28.54
"8_Two laptops, and cords._3",One laptop a mouse cords wires and a monitor.,26.71
"8_Two laptops, and cords._4",One laptop a mouse cords wires and a monitor.,27.14
8_Two laptops._0,One laptop a mouse cords wires and a monitor.,22.87
8_Two laptops._1,One laptop a mouse cords wires and a monitor.,23.89
8_Two laptops._2,One laptop a mouse cords wires and a monitor.,24.42
8_Two laptops._3,One laptop a mouse cords wires and a monitor.,24.10
8_Two laptops._4,One laptop a mouse cords wires and a monitor.,23.70
8_A mouse._0,One laptop a mouse cords wires and a monitor.,21.59
8_A mouse._1,One laptop a mouse cords wires and a monitor.,20.93
8_A mouse._2,One laptop a mouse cords wires and a monitor.,19.88
8_A mouse._3,One laptop a mouse cords wires and a monitor.,19.71
8_A mouse._4,One laptop a mouse cords wires and a monitor.,20.25
8_Cords._0,One laptop a mouse cords wires and a monitor.,18.81
8_Cords._1,One laptop a mouse cords wires and a monitor.,19.44
8_Cords._2,One laptop a mouse cords wires and a monitor.,17.38
8_Cords._3,One laptop a mouse cords wires and a monitor.,19.11
8_Cords._4,One laptop a mouse cords wires and a monitor.,18.40
8_A monitor._0,One laptop a mouse cords wires and a monitor.,24.78
8_A monitor._1,One laptop a mouse cords wires and a monitor.,21.88
8_A monitor._2,One laptop a mouse cords wires and a monitor.,25.14
8_A monitor._3,One laptop a mouse cords wires and a monitor.,26.13
8_A monitor._4,One laptop a mouse cords wires and a monitor.,26.34
coco_98071_stable_diffusion_v2_1,A young man in a suit and tie with a beer in his hand.,35.42
9_A young man in a suit with a beer in his hand._0,A young man in a suit and tie with a beer in his hand.,33.51
9_A young man in a suit with a beer in his hand._1,A young man in a suit and tie with a beer in his hand.,35.56
9_A young man in a suit with a beer in his hand._2,A young man in a suit and tie with a beer in his hand.,33.57
9_A young man in a suit with a beer in his hand._4,A young man in a suit and tie with a beer in his hand.,35.40
9_A young man in a tie with a beer in his hand._0,A young man in a suit and tie with a beer in his hand.,32.93
9_A young man in a tie with a beer in his hand._1,A young man in a suit and tie with a beer in his hand.,33.16
9_A young man in a tie with a beer in his hand._2,A young man in a suit and tie with a beer in his hand.,32.65
9_A young man in a tie with a beer in his hand._3,A young man in a suit and tie with a beer in his hand.,32.64
9_A young man in a tie with a beer in his hand._4,A young man in a suit and tie with a beer in his hand.,33.55
9_A young man in a suit and tie with a beer._1,A young man in a suit and tie with a beer in his hand.,35.60
9_A young man in a suit and tie with a beer._4,A young man in a suit and tie with a beer in his hand.,34.53
9_A young man with a beer in his hand._0,A young man in a suit and tie with a beer in his hand.,32.92
9_A young man with a beer in his hand._1,A young man in a suit and tie with a beer in his hand.,31.91
9_A young man with a beer in his hand._2,A young man in a suit and tie with a beer in his hand.,30.46
9_A young man with a beer in his hand._3,A young man in a suit and tie with a beer in his hand.,28.42
9_A young man with a beer in his hand._4,A young man in a suit and tie with a beer in his hand.,29.77
9_A young man in a suit and tie._0,A young man in a suit and tie with a beer in his hand.,27.70
9_A young man in a suit and tie._1,A young man in a suit and tie with a beer in his hand.,32.13
9_A young man in a suit and tie._2,A young man in a suit and tie with a beer in his hand.,25.38
9_A young man in a suit and tie._3,A young man in a suit and tie with a beer in his hand.,29.22
9_A young man in a suit and tie._4,A young man in a suit and tie with a beer in his hand.,29.56
9_A young man in a suit with a beer._0,A young man in a suit and tie with a beer in his hand.,33.80
9_A young man in a suit with a beer._2,A young man in a suit and tie with a beer in his hand.,35.75
9_A young man in a suit with a beer._3,A young man in a suit and tie with a beer in his hand.,28.85
9_A young man in a suit with a beer._4,A young man in a suit and tie with a beer in his hand.,34.95
9_A young man in a tie with a beer._0,A young man in a suit and tie with a beer in his hand.,34.76
9_A young man in a tie with a beer._1,A young man in a suit and tie with a beer in his hand.,31.74
9_A young man in a tie with a beer._2,A young man in a suit and tie with a beer in his hand.,30.96
9_A young man in a tie with a beer._3,A young man in a suit and tie with a beer in his hand.,31.55
9_A young man in a tie with a beer._4,A young man in a suit and tie with a beer in his hand.,31.01
9_A young man in a suit._0,A young man in a suit and tie with a beer in his hand.,26.48
9_A young man in a suit._1,A young man in a suit and tie with a beer in his hand.,31.62
9_A young man in a suit._2,A young man in a suit and tie with a beer in his hand.,26.60
9_A young man in a suit._3,A young man in a suit and tie with a beer in his hand.,29.15
9_A young man in a suit._4,A young man in a suit and tie with a beer in his hand.,30.28
9_A young man in a tie._0,A young man in a suit and tie with a beer in his hand.,27.40
9_A young man in a tie._1,A young man in a suit and tie with a beer in his hand.,30.64
9_A young man in a tie._2,A young man in a suit and tie with a beer in his hand.,26.45
9_A young man in a tie._3,A young man in a suit and tie with a beer in his hand.,28.73
9_A young man in a tie._4,A young man in a suit and tie with a beer in his hand.,28.11
9_A young man with a beer._0,A young man in a suit and tie with a beer in his hand.,35.13
9_A young man with a beer._1,A young man in a suit and tie with a beer in his hand.,32.76
9_A young man with a beer._2,A young man in a suit and tie with a beer in his hand.,28.23
9_A young man with a beer._3,A young man in a suit and tie with a beer in his hand.,27.13
9_A young man with a beer._4,A young man in a suit and tie with a beer in his hand.,31.22
9_A beer in his hand._0,A young man in a suit and tie with a beer in his hand.,25.29
9_A beer in his hand._1,A young man in a suit and tie with a beer in his hand.,29.12
9_A beer in his hand._2,A young man in a suit and tie with a beer in his hand.,24.77
9_A beer in his hand._3,A young man in a suit and tie with a beer in his hand.,28.03
9_A beer in his hand._4,A young man in a suit and tie with a beer in his hand.,26.26
9_A suit and tie._0,A young man in a suit and tie with a beer in his hand.,26.34
9_A suit and tie._1,A young man in a suit and tie with a beer in his hand.,24.78
9_A suit and tie._3,A young man in a suit and tie with a beer in his hand.,22.88
9_A suit and tie._4,A young man in a suit and tie with a beer in his hand.,23.42
9_A young man._0,A young man in a suit and tie with a beer in his hand.,28.98
9_A young man._1,A young man in a suit and tie with a beer in his hand.,22.35
9_A young man._2,A young man in a suit and tie with a beer in his hand.,20.66
9_A young man._3,A young man in a suit and tie with a beer in his hand.,21.99
9_A young man._4,A young man in a suit and tie with a beer in his hand.,23.46
9_A suit._0,A young man in a suit and tie with a beer in his hand.,24.90
9_A suit._1,A young man in a suit and tie with a beer in his hand.,25.26
9_A suit._2,A young man in a suit and tie with a beer in his hand.,25.66
9_A suit._3,A young man in a suit and tie with a beer in his hand.,25.82
9_A suit._4,A young man in a suit and tie with a beer in his hand.,23.30
9_A tie._3,A young man in a suit and tie with a beer in his hand.,18.78
9_A tie._4,A young man in a suit and tie with a beer in his hand.,24.28
9_A beer._0,A young man in a suit and tie with a beer in his hand.,22.62
9_A beer._1,A young man in a suit and tie with a beer in his hand.,25.65
9_A beer._2,A young man in a suit and tie with a beer in his hand.,24.28
9_A beer._3,A young man in a suit and tie with a beer in his hand.,14.57
9_A hand._0,A young man in a suit and tie with a beer in his hand.,15.49
9_A hand._1,A young man in a suit and tie with a beer in his hand.,16.90
9_A hand._2,A young man in a suit and tie with a beer in his hand.,16.77
9_A hand._3,A young man in a suit and tie with a beer in his hand.,18.03
9_A hand._4,A young man in a suit and tie with a beer in his hand.,17.19
coco_144234_stable_diffusion_v2_1,A man is eating a loaded hot dog with people around him.,33.51
10_A man is eating a loaded hot dog with people around him in a line._0,A man is eating a loaded hot dog with people around him.,28.64
10_A man is eating a loaded hot dog with people around him in a line._1,A man is eating a loaded hot dog with people around him.,34.08
10_A man is eating a loaded hot dog with people around him in a line._2,A man is eating a loaded hot dog with people around him.,34.45
10_A man is eating a loaded hot dog with people around him in a line._3,A man is eating a loaded hot dog with people around him.,32.45
10_A man is eating a loaded hot dog with people around him in a line._4,A man is eating a loaded hot dog with people around him.,31.59
10_A man is eating a loaded hot dog with people around him._0,A man is eating a loaded hot dog with people around him.,30.74
10_A man is eating a loaded hot dog with people around him._1,A man is eating a loaded hot dog with people around him.,32.88
10_A man is eating a loaded hot dog with people around him._2,A man is eating a loaded hot dog with people around him.,34.61
10_A man is eating a loaded hot dog with people around him._3,A man is eating a loaded hot dog with people around him.,31.45
10_A man is eating a loaded hot dog with people around him._4,A man is eating a loaded hot dog with people around him.,31.46
10_A man is eating a loaded hot dog in a line._0,A man is eating a loaded hot dog with people around him.,30.35
10_A man is eating a loaded hot dog in a line._3,A man is eating a loaded hot dog with people around him.,31.89
10_Eating a loaded hot dog with people around in a line._0,A man is eating a loaded hot dog with people around him.,35.08
10_Eating a loaded hot dog with people around in a line._1,A man is eating a loaded hot dog with people around him.,32.16
10_Eating a loaded hot dog with people around in a line._2,A man is eating a loaded hot dog with people around him.,33.42
10_Eating a loaded hot dog with people around in a line._3,A man is eating a loaded hot dog with people around him.,31.32
10_Eating a loaded hot dog with people around in a line._4,A man is eating a loaded hot dog with people around him.,32.08
10_A man with people around him in a line._0,A man is eating a loaded hot dog with people around him.,19.84
10_A man with people around him in a line._1,A man is eating a loaded hot dog with people around him.,18.35
10_A man with people around him in a line._2,A man is eating a loaded hot dog with people around him.,20.47
10_A man with people around him in a line._3,A man is eating a loaded hot dog with people around him.,19.50
10_A man with people around him in a line._4,A man is eating a loaded hot dog with people around him.,21.03
10_A man is eating a loaded hot dog._0,A man is eating a loaded hot dog with people around him.,27.97
10_A man is eating a loaded hot dog._1,A man is eating a loaded hot dog with people around him.,31.37
10_A man is eating a loaded hot dog._2,A man is eating a loaded hot dog with people around him.,30.33
10_A man is eating a loaded hot dog._3,A man is eating a loaded hot dog with people around him.,31.67
10_A man is eating a loaded hot dog._4,A man is eating a loaded hot dog with people around him.,31.85
10_People around him in a line._0,A man is eating a loaded hot dog with people around him.,20.03
10_People around him in a line._1,A man is eating a loaded hot dog with people around him.,21.68
10_People around him in a line._2,A man is eating a loaded hot dog with people around him.,18.30
10_People around him in a line._3,A man is eating a loaded hot dog with people around him.,20.05
10_People around him in a line._4,A man is eating a loaded hot dog with people around him.,20.47
10_A man with people around him._0,A man is eating a loaded hot dog with people around him.,22.90
10_A man with people around him._1,A man is eating a loaded hot dog with people around him.,21.32
10_A man with people around him._2,A man is eating a loaded hot dog with people around him.,19.90
10_A man with people around him._3,A man is eating a loaded hot dog with people around him.,24.11
10_A man with people around him._4,A man is eating a loaded hot dog with people around him.,21.49
10_A man in a line._0,A man is eating a loaded hot dog with people around him.,18.86
10_A man in a line._1,A man is eating a loaded hot dog with people around him.,18.03
10_A man in a line._2,A man is eating a loaded hot dog with people around him.,18.12
10_A man in a line._4,A man is eating a loaded hot dog with people around him.,19.75
10_A man is eating._0,A man is eating a loaded hot dog with people around him.,24.22
10_A man is eating._1,A man is eating a loaded hot dog with people around him.,21.59
10_A man is eating._2,A man is eating a loaded hot dog with people around him.,25.70
10_A man is eating._3,A man is eating a loaded hot dog with people around him.,25.12
10_A man is eating._4,A man is eating a loaded hot dog with people around him.,24.78
10_Eating a loaded hot dog._2,A man is eating a loaded hot dog with people around him.,28.99
10_Eating a loaded hot dog._4,A man is eating a loaded hot dog with people around him.,27.68
10_People._0,A man is eating a loaded hot dog with people around him.,17.64
10_People._3,A man is eating a loaded hot dog with people around him.,22.96
10_People._4,A man is eating a loaded hot dog with people around him.,20.01
coco_680517_stable_diffusion_v2_1,A man in a wet suit is surfing.,31.34
11_A man is surfing._0,A man in a wet suit is surfing.,31.70
11_A man is surfing._1,A man in a wet suit is surfing.,30.36
11_A man is surfing._2,A man in a wet suit is surfing.,30.06
11_A man is surfing._3,A man in a wet suit is surfing.,31.16
11_A man is surfing._4,A man in a wet suit is surfing.,30.55
11_A man in a wet suit._0,A man in a wet suit is surfing.,33.25
11_A man in a wet suit._1,A man in a wet suit is surfing.,29.67
11_A man in a wet suit._2,A man in a wet suit is surfing.,32.01
11_A man in a wet suit._3,A man in a wet suit is surfing.,31.36
11_A man in a wet suit._4,A man in a wet suit is surfing.,32.24
13_A man._3,A man in a wet suit is surfing.,19.47
13_A man._4,A man in a wet suit is surfing.,14.44
coco_292534_stable_diffusion_v2_1,A red motorcycle parked by paint chipped doors.,32.55
12_A red motorcycle._0,A red motorcycle parked by paint chipped doors.,29.70
12_A red motorcycle._1,A red motorcycle parked by paint chipped doors.,30.26
12_A red motorcycle._2,A red motorcycle parked by paint chipped doors.,30.49
12_A red motorcycle._3,A red motorcycle parked by paint chipped doors.,28.87
12_A red motorcycle._4,A red motorcycle parked by paint chipped doors.,29.27
12_Paint chipped doors._0,A red motorcycle parked by paint chipped doors.,26.41
12_Paint chipped doors._1,A red motorcycle parked by paint chipped doors.,21.16
12_Paint chipped doors._2,A red motorcycle parked by paint chipped doors.,23.40
12_Paint chipped doors._3,A red motorcycle parked by paint chipped doors.,25.40
12_Paint chipped doors._4,A red motorcycle parked by paint chipped doors.,23.05
coco_655658_stable_diffusion_v2_1,A man in a black shirt plays on an ocean wave.,30.86
13_A man plays on an ocean wave._0,A man in a black shirt plays on an ocean wave.,29.07
13_A man plays on an ocean wave._1,A man in a black shirt plays on an ocean wave.,29.97
13_A man plays on an ocean wave._2,A man in a black shirt plays on an ocean wave.,27.17
13_A man plays on an ocean wave._3,A man in a black shirt plays on an ocean wave.,28.87
13_A man plays on an ocean wave._4,A man in a black shirt plays on an ocean wave.,29.77
13_A man in a black shirt plays._0,A man in a black shirt plays on an ocean wave.,31.00
13_A man in a black shirt plays._1,A man in a black shirt plays on an ocean wave.,27.29
13_A man in a black shirt plays._2,A man in a black shirt plays on an ocean wave.,25.49
13_A man in a black shirt plays._3,A man in a black shirt plays on an ocean wave.,28.14
13_A man in a black shirt plays._4,A man in a black shirt plays on an ocean wave.,25.07
13_A man._3,A man in a black shirt plays on an ocean wave.,19.15
13_A man._4,A man in a black shirt plays on an ocean wave.,16.55
13_A black shirt._1,A man in a black shirt plays on an ocean wave.,21.40
13_A black shirt._2,A man in a black shirt plays on an ocean wave.,22.25
13_A black shirt._4,A man in a black shirt plays on an ocean wave.,21.45
13_An ocean wave._0,A man in a black shirt plays on an ocean wave.,28.14
13_An ocean wave._1,A man in a black shirt plays on an ocean wave.,27.69
13_An ocean wave._2,A man in a black shirt plays on an ocean wave.,27.52
13_An ocean wave._3,A man in a black shirt plays on an ocean wave.,28.51
13_An ocean wave._4,A man in a black shirt plays on an ocean wave.,26.78
coco_573015_stable_diffusion_v2_1,The people are flying the kites,29.93
14_The people are flying the kites._0,The people are flying the kites,33.12
14_The people are flying the kites._2,The people are flying the kites,29.08
