id,prompt,question_id,question,choices,answer
4,A male skateboarder is trying to pull off a trick on the ramp.,3,Is the skateboarder trying to pull off a trick?,yes|no,yes
4,A male skateboarder is trying to pull off a trick on the ramp.,4,Is the skateboarder on the ramp?,yes|no,yes
5,A woman is showing a scooter to another woman.,0,Is there a woman?,yes|no,yes
5,A woman is showing a scooter to another woman.,1,Is there a scooter?,yes|no,yes
5,A woman is showing a scooter to another woman.,2,Is the woman showing something?,yes|no,yes
5,A woman is showing a scooter to another woman.,3,Is the woman showing the scooter to another woman?,yes|no,yes
6,A man in a green suiit leaning over a laptop,0,Is there a man?,yes|no,yes
6,A man in a green suiit leaning over a laptop,1,Is the man wearing a suit?,yes|no,yes
6,A man in a green suiit leaning over a laptop,2,Is the suit green?,yes|no,yes
6,A man in a green suiit leaning over a laptop,3,Is there a laptop?,yes|no,yes
6,A man in a green suiit leaning over a laptop,4,Is the man leaning over the laptop?,yes|no,yes
7,A woman holding a racquet on top of a tennis court.,0,Is there a woman?,yes|no,yes
7,A woman holding a racquet on top of a tennis court.,1,Is there a racquet?,yes|no,yes
7,A woman holding a racquet on top of a tennis court.,2,Is there a tennis court?,yes|no,yes
7,A woman holding a racquet on top of a tennis court.,3,Is the woman on top of the tennis court?,yes|no,yes
7,A woman holding a racquet on top of a tennis court.,4,Is the woman holding the racquet?,yes|no,yes
8,"One laptop, a mouse, cords, wires, and a monitor.",0,Is there a laptop?,yes|no,yes
8,"One laptop, a mouse, cords, wires, and a monitor.",1,Is there a mouse?,yes|no,yes
8,"One laptop, a mouse, cords, wires, and a monitor.",2,Are there cords?,yes|no,yes
8,"One laptop, a mouse, cords, wires, and a monitor.",3,Are there wires?,yes|no,yes
8,"One laptop, a mouse, cords, wires, and a monitor.",4,Is there a monitor?,yes|no,yes
9,A young man in a suit and tie with a beer in his hand.,0,Is there a man?,yes|no,yes
9,A young man in a suit and tie with a beer in his hand.,1,Does the man have a suit?,yes|no,yes
9,A young man in a suit and tie with a beer in his hand.,2,Does the man have a tie?,yes|no,yes
9,A young man in a suit and tie with a beer in his hand.,3,Is there a beer?,yes|no,yes
9,A young man in a suit and tie with a beer in his hand.,4,Is the man young?,yes|no,yes
9,A young man in a suit and tie with a beer in his hand.,5,Is the man wearing a suit and tie?,yes|no,yes
9,A young man in a suit and tie with a beer in his hand.,6,Does the man have the beer in his hand?,yes|no,yes
10,A man is eating a loaded hot dog with people around him.,0,Is there a man?,yes|no,yes
10,A man is eating a loaded hot dog with people around him.,1,Is there a hot dog?,yes|no,yes
10,A man is eating a loaded hot dog with people around him.,2,Are there people?,yes|no,yes
10,A man is eating a loaded hot dog with people around him.,3,Is the man eating?,yes|no,yes
10,A man is eating a loaded hot dog with people around him.,4,Is the man eating the hot dog?,yes|no,yes
10,A man is eating a loaded hot dog with people around him.,5,Are the people around the man?,yes|no,yes
11,A man in a wet suit is surfing.,0,Is there a man?,yes|no,yes
11,A man in a wet suit is surfing.,1,Is the man wearing a wet suit?,yes|no,yes
11,A man in a wet suit is surfing.,2,Is the man surfing?,yes|no,yes
12,A red motorcycle parked by paint chipped doors.,0,Is there a red motorcycle?,yes|no,yes
12,A red motorcycle parked by paint chipped doors.,1,Are there doors?,yes|no,yes
12,A red motorcycle parked by paint chipped doors.,2,Is the motorcycle parked?,yes|no,yes
12,A red motorcycle parked by paint chipped doors.,3,Are the doors paint chipped?,yes|no,yes
12,A red motorcycle parked by paint chipped doors.,4,Is the motorcycle next to the doors?,yes|no,yes
13,A man in a black shirt plays on an ocean wave.,0,Is there a man?,yes|no,yes
13,A man in a black shirt plays on an ocean wave.,1,Is the man wearing a black shirt?,yes|no,yes
13,A man in a black shirt plays on an ocean wave.,2,Is the man playing?,yes|no,yes
13,A man in a black shirt plays on an ocean wave.,3,Is there an ocean wave?,yes|no,yes
13,A man in a black shirt plays on an ocean wave.,4,Is the man on the ocean wave?,yes|no,yes
14,The people are flying the kites,0,Are there people?,yes|no,yes
14,The people are flying the kites,1,Are the people flying?,yes|no,yes
14,The people are flying the kites,2,Are there kites?,yes|no,yes
15,a large clock hangs from a building,0,Is there a clock?,yes|no,yes
15,a large clock hangs from a building,1,Is there a building?,yes|no,yes
15,a large clock hangs from a building,2,Is the clock large?,yes|no,yes
15,a large clock hangs from a building,3,Does the clock hang from the building?,yes|no,yes
16,A sheep with short hair stands under a fence.,0,Is there a sheep?,yes|no,yes
16,A sheep with short hair stands under a fence.,1,Is there a fence?,yes|no,yes
16,A sheep with short hair stands under a fence.,2,Does the sheep have short hair?,yes|no,yes
16,A sheep with short hair stands under a fence.,3,Is the sheep standing under the fence?,yes|no,yes
17,A male rider on a midsized horse in a field with a woman standing.,0,Is there a male rider?,yes|no,yes
17,A male rider on a midsized horse in a field with a woman standing.,1,Is there a midsized horse?,yes|no,yes
17,A male rider on a midsized horse in a field with a woman standing.,2,Is there a field?,yes|no,yes
17,A male rider on a midsized horse in a field with a woman standing.,3,Is there a woman?,yes|no,yes
17,A male rider on a midsized horse in a field with a woman standing.,4,Is the rider male?,yes|no,yes
17,A male rider on a midsized horse in a field with a woman standing.,5,Is the horse midsized?,yes|no,yes
17,A male rider on a midsized horse in a field with a woman standing.,6,Is the rider on the horse?,yes|no,yes
17,A male rider on a midsized horse in a field with a woman standing.,7,Is the rider in the field?,yes|no,yes
17,A male rider on a midsized horse in a field with a woman standing.,8,Is the woman standing in the field?,yes|no,yes
18,Black and white photograph of a bed with a laptop on it.,0,Is this a photograph?,yes|no,yes
18,Black and white photograph of a bed with a laptop on it.,1,Is there a bed?,yes|no,yes
18,Black and white photograph of a bed with a laptop on it.,2,Is there a laptop?,yes|no,yes
18,Black and white photograph of a bed with a laptop on it.,3,Is the photograph black and white?,yes|no,yes
18,Black and white photograph of a bed with a laptop on it.,4,Is the laptop on the bed?,yes|no,yes
19,A boy standing in the door of a bus.,0,Is there a boy?,yes|no,yes
19,A boy standing in the door of a bus.,1,Is there a door?,yes|no,yes
19,A boy standing in the door of a bus.,2,Is there a bus?,yes|no,yes
19,A boy standing in the door of a bus.,3,Is the boy standing in the door?,yes|no,yes
19,A boy standing in the door of a bus.,4,Is the door of the bus?,yes|no,yes
20,a grand piano with a white bench,0,Is there a grand piano?,yes|no,yes
20,a grand piano with a white bench,1,Is there a bench?,yes|no,yes
20,a grand piano with a white bench,2,Is the bench white?,yes|no,yes
21,a flock of geese in front of The Alamo,0,Is there a flock of geese?,yes|no,yes
21,a flock of geese in front of The Alamo,1,Is there The Alamo?,yes|no,yes
21,a flock of geese in front of The Alamo,2,Are the geese in front of The Alamo?,yes|no,yes
22,a stained glass window depicting a calm tyrannosaurus rex,0,Is there a stained glass window?,yes|no,yes
22,a stained glass window depicting a calm tyrannosaurus rex,1,Is the tyrannosaurus rex calm?,yes|no,yes
22,a stained glass window depicting a calm tyrannosaurus rex,2,Is the stained glass window depicting something?,yes|no,yes
23,words on a blue t-shirt,0,Are there words?,yes|no,yes
23,words on a blue t-shirt,1,Is there a t-shirt?,yes|no,yes
23,words on a blue t-shirt,2,Is the t-shirt blue?,yes|no,yes
23,words on a blue t-shirt,3,Are the words on the t-shirt?,yes|no,yes
24,a snake curled around a wooden post,0,Is there a snake?,yes|no,yes
24,a snake curled around a wooden post,1,Is there a wooden post?,yes|no,yes
24,a snake curled around a wooden post,2,Is the snake curled around the wooden post?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",0,Is there a vehicle?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",1,Are there wheels?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",2,Is there a frame?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",3,Are there pedals?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",4,Are there handlebars?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",5,Are the wheels held in the frame?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",6,Is the frame held in the wheels?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",7,Are the pedals attached to the frame?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",8,Are the handlebars attached to the front wheel?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",9,Does the vehicle propel with pedals?,yes|no,yes
25,"A vehicle composed of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel.",10,Does the vehicle steer with handlebars?,yes|no,yes
26,a sketch of a horse,0,Is there a sketch?,yes|no,yes
26,a sketch of a horse,1,Is there a horse?,yes|no,yes
27,a pumpkin on a man's head,0,Is there a pumpkin?,yes|no,yes
27,a pumpkin on a man's head,1,Is there a man?,yes|no,yes
27,a pumpkin on a man's head,2,Does the man have a head?,yes|no,yes
27,a pumpkin on a man's head,3,Is the pumpkin on the man's head?,yes|no,yes
28,a photo of bike and skateboard; skateboard is right to bike,0,Is this a photo?,yes|no,yes
28,a photo of bike and skateboard; skateboard is right to bike,1,Is there a bike?,yes|no,yes
28,a photo of bike and skateboard; skateboard is right to bike,2,Is there a skateboard?,yes|no,yes
28,a photo of bike and skateboard; skateboard is right to bike,3,Is the skateboard right to the bike?,yes|no,yes
29,a photo of dog and stop sign; stop sign is left to dog,0,Is this a photo?,yes|no,yes
29,a photo of dog and stop sign; stop sign is left to dog,1,Is there a dog?,yes|no,yes
29,a photo of dog and stop sign; stop sign is left to dog,2,Is there a stop sign?,yes|no,yes
29,a photo of dog and stop sign; stop sign is left to dog,3,Is the stop sign to the left of the dog?,yes|no,yes
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",0,Is there a beaver?,yes|no,yes
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",1,Is there a pair of glasses?,yes|no,yes
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",2,Is there a vest?,yes|no,yes
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",3,Is there a neck tie?,yes|no,yes
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",4,Is there a library?,yes|no,yes
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",5,Is the beaver dignified?,yes|no,yes
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",6,Are the glasses eyewear?,yes|no,yes
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",7,Is the vest clothing?,yes|no,yes
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",8,Is the neck tie colorful?,yes|no,yes
30,"A dignified beaver wearing glasses, a vest, and colorful neck tie. He stands in a library.",9,Is the beaver in the library?,yes|no,yes
31,a map of Italy,0,Is there a map?,yes|no,yes
31,a map of Italy,1,Is it a map of Italy?,yes|no,yes
32,a pair of glasses in front of a computer monitor,0,Are there glasses?,yes|no,yes
32,a pair of glasses in front of a computer monitor,1,Is there a computer monitor?,yes|no,yes
32,a pair of glasses in front of a computer monitor,2,Are the glasses in front of the computer monitor?,yes|no,yes
33,an ostrich standing in front of a couch,0,Is there an ostrich?,yes|no,yes
33,an ostrich standing in front of a couch,1,Is there a couch?,yes|no,yes
33,an ostrich standing in front of a couch,2,Is the ostrich in front of the couch?,yes|no,yes
33,an ostrich standing in front of a couch,3,Is the ostrich standing?,yes|no,yes
34,a photo of bed and human; human is right to bed,0,Is this a photo?,yes|no,yes
34,a photo of bed and human; human is right to bed,1,Is there a bed?,yes|no,yes
34,a photo of bed and human; human is right to bed,2,Is there a human?,yes|no,yes
34,a photo of bed and human; human is right to bed,3,Is the human right to the bed?,yes|no,yes
35,"A car playing with a soccer player, digital art.",0,Is there a car?,yes|no,yes
35,"A car playing with a soccer player, digital art.",1,Is there a soccer player?,yes|no,yes
35,"A car playing with a soccer player, digital art.",2,Is this digital art?,yes|no,yes
35,"A car playing with a soccer player, digital art.",3,Is the car playing with the soccer player?,yes|no,yes
36,a mountain with a cloud hanging over it,0,Is there a mountain?,yes|no,yes
36,a mountain with a cloud hanging over it,1,Is there a cloud?,yes|no,yes
36,a mountain with a cloud hanging over it,2,Is the cloud hanging over the mountain?,yes|no,yes
37,an espresso machine that makes coffee.,0,Is there an espresso machine?,yes|no,yes
37,an espresso machine that makes coffee.,1,Is there coffee?,yes|no,yes
37,an espresso machine that makes coffee.,2,Is the espresso machine making coffee?,yes|no,yes
38,The sun behind a skyscraper. painting in the style of Hokusai.,0,Is there a sun?,yes|no,yes
38,The sun behind a skyscraper. painting in the style of Hokusai.,1,Is there a skyscraper?,yes|no,yes
38,The sun behind a skyscraper. painting in the style of Hokusai.,2,Is this a painting?,yes|no,yes
38,The sun behind a skyscraper. painting in the style of Hokusai.,3,Is the painting in the style of Hokusai?,yes|no,yes
38,The sun behind a skyscraper. painting in the style of Hokusai.,4,Is the sun behind the skyscraper?,yes|no,yes
39,red apples on a tree with green leaves,0,Are there apples?,yes|no,yes
39,red apples on a tree with green leaves,1,Are there red apples?,yes|no,yes
39,red apples on a tree with green leaves,2,Is there a tree?,yes|no,yes
39,red apples on a tree with green leaves,3,Are the apples red?,yes|no,yes
39,red apples on a tree with green leaves,4,Are the leaves green?,yes|no,yes
39,red apples on a tree with green leaves,5,Are the apples on the tree?,yes|no,yes
39,red apples on a tree with green leaves,6,Are the leaves on the tree?,yes|no,yes
40,An assortment of fruits and vegetable all set together,0,Are there fruits?,yes|no,yes
40,An assortment of fruits and vegetable all set together,1,Are there vegetables?,yes|no,yes
40,An assortment of fruits and vegetable all set together,2,Is there an assortment of fruits?,yes|no,yes
40,An assortment of fruits and vegetable all set together,3,Is there an assortment of vegetables?,yes|no,yes
40,An assortment of fruits and vegetable all set together,4,Are the fruits and vegetables set together?,yes|no,yes
41,People walking down a city sidewalk showing one with headphones.,0,Are there people?,yes|no,yes
41,People walking down a city sidewalk showing one with headphones.,1,Is there a city sidewalk?,yes|no,yes
41,People walking down a city sidewalk showing one with headphones.,2,Are the people walking?,yes|no,yes
41,People walking down a city sidewalk showing one with headphones.,3,Is one of the people wearing headphones?,yes|no,yes
41,People walking down a city sidewalk showing one with headphones.,4,Is the person with headphones on the city sidewalk?,yes|no,yes
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,0,Is there a little boy?,yes|no,yes
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,1,Is there a soccer ball?,yes|no,yes
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,2,Are there other youth soccer players?,yes|no,yes
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,3,Does the boy have a leg?,yes|no,yes
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,4,Is the boy little?,yes|no,yes
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,5,Is the ball a soccer ball?,yes|no,yes
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,6,Are the soccer players youth?,yes|no,yes
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,7,Is the boy kicking the ball?,yes|no,yes
42,A little boy kicks a soccer ball surrounded by other youth soccer players.,8,Is the boy surrounded by the other soccer players?,yes|no,yes
43,man with a tennis racket,0,Is there a man?,yes|no,yes
43,man with a tennis racket,1,Is there a tennis racket?,yes|no,yes
43,man with a tennis racket,2,Is the man holding a tennis racket?,yes|no,yes
44,A baseball player running to a base during a game at night.,0,Is there a baseball player?,yes|no,yes
44,A baseball player running to a base during a game at night.,1,Is there a base?,yes|no,yes
44,A baseball player running to a base during a game at night.,2,Is there a game?,yes|no,yes
44,A baseball player running to a base during a game at night.,3,Is the game at night?,yes|no,yes
44,A baseball player running to a base during a game at night.,4,Is the baseball player running to a base?,yes|no,yes
44,A baseball player running to a base during a game at night.,5,Is the baseball player running during the game?,yes|no,yes
45,a group of beginner snow skiers having class,0,Is there a group?,yes|no,yes
45,a group of beginner snow skiers having class,1,Is the group made up of beginner snow skiers?,yes|no,yes
45,a group of beginner snow skiers having class,2,Are the snow skiers beginners?,yes|no,yes
45,a group of beginner snow skiers having class,3,Are the snow skiers snow skiing?,yes|no,yes
45,a group of beginner snow skiers having class,4,Is the group having a class?,yes|no,yes
46,A group of surfers are carrying their surf boards into the ocean.,0,Is there a group of surfers?,yes|no,yes
46,A group of surfers are carrying their surf boards into the ocean.,1,Are there surf boards?,yes|no,yes
46,A group of surfers are carrying their surf boards into the ocean.,2,Is there an ocean?,yes|no,yes
46,A group of surfers are carrying their surf boards into the ocean.,3,Are the surfers carrying their surf boards?,yes|no,yes
46,A group of surfers are carrying their surf boards into the ocean.,4,Are the surfers carrying their surf boards into the ocean?,yes|no,yes
47,Zebras eat hay in black and white.,0,Are there zebras?,yes|no,yes
47,Zebras eat hay in black and white.,1,Are the zebras eating?,yes|no,yes
47,Zebras eat hay in black and white.,2,Is there hay?,yes|no,yes
47,Zebras eat hay in black and white.,3,Is the hay black and white?,yes|no,yes
48,a woman in a black jacket and two pizzas,0,Is there a woman?,yes|no,yes
48,a woman in a black jacket and two pizzas,1,Is there a black jacket?,yes|no,yes
48,a woman in a black jacket and two pizzas,2,Is the woman wearing a black jacket?,yes|no,yes
48,a woman in a black jacket and two pizzas,3,Are there pizzas?,yes|no,yes
48,a woman in a black jacket and two pizzas,4,Are there two pizzas?,yes|no,yes
49,a dog is laying with a remote controller,0,Is there a dog?,yes|no,yes
49,a dog is laying with a remote controller,1,Is there a remote controller?,yes|no,yes
49,a dog is laying with a remote controller,2,Is the dog laying?,yes|no,yes
49,a dog is laying with a remote controller,3,Is the dog with the remote controller?,yes|no,yes
50,"A red plate topped with broccoli, meat and veggies.",0,Is there a plate?,yes|no,yes
50,"A red plate topped with broccoli, meat and veggies.",1,Is the plate red?,yes|no,yes
50,"A red plate topped with broccoli, meat and veggies.",2,Is there broccoli?,yes|no,yes
50,"A red plate topped with broccoli, meat and veggies.",3,Is there meat?,yes|no,yes
50,"A red plate topped with broccoli, meat and veggies.",4,Are there veggies?,yes|no,yes
50,"A red plate topped with broccoli, meat and veggies.",5,Is the broccoli on the plate?,yes|no,yes
50,"A red plate topped with broccoli, meat and veggies.",6,Is the meat on the plate?,yes|no,yes
50,"A red plate topped with broccoli, meat and veggies.",7,Are the veggies on the plate?,yes|no,yes
51,The woman is on the court playing a game of tennis.,0,Is there a woman?,yes|no,yes
51,The woman is on the court playing a game of tennis.,1,Is there a court?,yes|no,yes
51,The woman is on the court playing a game of tennis.,2,Is the woman playing?,yes|no,yes
51,The woman is on the court playing a game of tennis.,3,Is the game tennis?,yes|no,yes
51,The woman is on the court playing a game of tennis.,4,Is the woman on the court?,yes|no,yes
52,A row of motorcycles parked on the side of a road.,0,Are there motorcycles?,yes|no,yes
52,A row of motorcycles parked on the side of a road.,1,Are there any motorcycles?,yes|no,yes
52,A row of motorcycles parked on the side of a road.,2,Is there a road?,yes|no,yes
52,A row of motorcycles parked on the side of a road.,3,Are the motorcycles parked on the side of the road?,yes|no,yes
53,Young kitten along windowpane watching the rain tap on the glass.,0,Is there a young kitten?,yes|no,yes
53,Young kitten along windowpane watching the rain tap on the glass.,1,Is there a windowpane?,yes|no,yes
53,Young kitten along windowpane watching the rain tap on the glass.,2,Is the kitten watching something?,yes|no,yes
53,Young kitten along windowpane watching the rain tap on the glass.,3,Is the kitten watching the rain?,yes|no,yes
53,Young kitten along windowpane watching the rain tap on the glass.,4,Is there rain?,yes|no,yes
53,Young kitten along windowpane watching the rain tap on the glass.,5,Is the rain tapping?,yes|no,yes
53,Young kitten along windowpane watching the rain tap on the glass.,6,Is there glass?,yes|no,yes
53,Young kitten along windowpane watching the rain tap on the glass.,7,Is the kitten along the windowpane?,yes|no,yes
53,Young kitten along windowpane watching the rain tap on the glass.,8,Is the rain on the glass?,yes|no,yes
54,A woman sitting on a couch in front of a laptop.,0,Is there a woman?,yes|no,yes
54,A woman sitting on a couch in front of a laptop.,1,Is there a couch?,yes|no,yes
54,A woman sitting on a couch in front of a laptop.,2,Is there a laptop?,yes|no,yes
54,A woman sitting on a couch in front of a laptop.,3,Is the woman sitting?,yes|no,yes
54,A woman sitting on a couch in front of a laptop.,4,Is the woman on the couch?,yes|no,yes
54,A woman sitting on a couch in front of a laptop.,5,Is the laptop in front of the woman?,yes|no,yes
55,Small white toilet with a seashell on the wall,0,Is there a toilet?,yes|no,yes
55,Small white toilet with a seashell on the wall,1,Is the toilet small?,yes|no,yes
55,Small white toilet with a seashell on the wall,2,Is the toilet white?,yes|no,yes
55,Small white toilet with a seashell on the wall,3,Is there a seashell?,yes|no,yes
55,Small white toilet with a seashell on the wall,4,Is the seashell on the wall?,yes|no,yes
56,A teddy bear store is decorated with signs and teddy bears.,0,Is there a teddy bear store?,yes|no,yes
56,A teddy bear store is decorated with signs and teddy bears.,1,Are there signs?,yes|no,yes
56,A teddy bear store is decorated with signs and teddy bears.,2,Are there teddy bears?,yes|no,yes
56,A teddy bear store is decorated with signs and teddy bears.,3,Are the signs decorating the teddy bear store?,yes|no,yes
56,A teddy bear store is decorated with signs and teddy bears.,4,Are the teddy bears decorating the teddy bear store?,yes|no,yes
57,A guy sitting down and a hand with a cell phone in it.,0,Is there a guy?,yes|no,yes
57,A guy sitting down and a hand with a cell phone in it.,1,Is there a hand?,yes|no,yes
57,A guy sitting down and a hand with a cell phone in it.,2,Is there a cell phone?,yes|no,yes
57,A guy sitting down and a hand with a cell phone in it.,3,Is the guy sitting?,yes|no,yes
57,A guy sitting down and a hand with a cell phone in it.,4,Is the hand holding a cell phone?,yes|no,yes
58,a skateboarder in a blue jacket is doing a trick,0,Is there a skateboarder?,yes|no,yes
58,a skateboarder in a blue jacket is doing a trick,1,Is the skateboarder wearing a blue jacket?,yes|no,yes
58,a skateboarder in a blue jacket is doing a trick,2,Is the skateboarder doing a trick?,yes|no,yes
59,A group of children sitting in the grass with two of them holding a Frisbee .,0,Are there a group of children?,yes|no,yes
59,A group of children sitting in the grass with two of them holding a Frisbee .,1,Is there grass?,yes|no,yes
59,A group of children sitting in the grass with two of them holding a Frisbee .,2,Is there a Frisbee?,yes|no,yes
59,A group of children sitting in the grass with two of them holding a Frisbee .,3,Are the children sitting?,yes|no,yes
59,A group of children sitting in the grass with two of them holding a Frisbee .,4,Are the children in the grass?,yes|no,yes
59,A group of children sitting in the grass with two of them holding a Frisbee .,5,Are there two of the children?,yes|no,yes
59,A group of children sitting in the grass with two of them holding a Frisbee .,6,Are two of the children holding a Frisbee?,yes|no,yes
60,A grey motorcycle on dirt road next to a building.,0,Is there a motorcycle?,yes|no,yes
60,A grey motorcycle on dirt road next to a building.,1,Is there a dirt road?,yes|no,yes
60,A grey motorcycle on dirt road next to a building.,2,Is there a building?,yes|no,yes
60,A grey motorcycle on dirt road next to a building.,3,Is the motorcycle grey?,yes|no,yes
60,A grey motorcycle on dirt road next to a building.,4,Is the motorcycle on the dirt road?,yes|no,yes
60,A grey motorcycle on dirt road next to a building.,5,Is the motorcycle next to the building?,yes|no,yes
61,A red bike with handles by a black fence on a sidewalk.,0,Is there a bike?,yes|no,yes
61,A red bike with handles by a black fence on a sidewalk.,1,Are there handles?,yes|no,yes
61,A red bike with handles by a black fence on a sidewalk.,2,Is there a fence?,yes|no,yes
61,A red bike with handles by a black fence on a sidewalk.,3,Is there a sidewalk?,yes|no,yes
61,A red bike with handles by a black fence on a sidewalk.,4,Is the bike red?,yes|no,yes
61,A red bike with handles by a black fence on a sidewalk.,5,Is the fence black?,yes|no,yes
61,A red bike with handles by a black fence on a sidewalk.,6,Are the handles with the bike?,yes|no,yes
61,A red bike with handles by a black fence on a sidewalk.,7,Is the bike by the fence?,yes|no,yes
61,A red bike with handles by a black fence on a sidewalk.,8,Is the bike on the sidewalk?,yes|no,yes
62,A table topped with bags of luggage and purses.,0,Is there a table?,yes|no,yes
62,A table topped with bags of luggage and purses.,1,Are there bags of luggage?,yes|no,yes
62,A table topped with bags of luggage and purses.,2,Are there purses?,yes|no,yes
62,A table topped with bags of luggage and purses.,3,Are the bags of luggage on the table?,yes|no,yes
62,A table topped with bags of luggage and purses.,4,Are the purses on the table?,yes|no,yes
63,A traffic light and a signpost at a crossroads intersection near a waterway.,0,Is there a traffic light?,yes|no,yes
63,A traffic light and a signpost at a crossroads intersection near a waterway.,1,Is there a signpost?,yes|no,yes
63,A traffic light and a signpost at a crossroads intersection near a waterway.,2,Is there a crossroads intersection?,yes|no,yes
63,A traffic light and a signpost at a crossroads intersection near a waterway.,3,Is there a waterway?,yes|no,yes
63,A traffic light and a signpost at a crossroads intersection near a waterway.,4,Is the traffic light at the crossroads intersection?,yes|no,yes
63,A traffic light and a signpost at a crossroads intersection near a waterway.,5,Is the signpost at the crossroads intersection?,yes|no,yes
63,A traffic light and a signpost at a crossroads intersection near a waterway.,6,Is the traffic light near the waterway?,yes|no,yes
63,A traffic light and a signpost at a crossroads intersection near a waterway.,7,Is the signpost near the waterway?,yes|no,yes
63,A traffic light and a signpost at a crossroads intersection near a waterway.,8,Is the crossroads intersection near the waterway?,yes|no,yes
64,A large giraffe looks at a smaller giraffe looking by a fence.,0,Is there a giraffe?,yes|no,yes
64,A large giraffe looks at a smaller giraffe looking by a fence.,1,Is the giraffe large?,yes|no,yes
64,A large giraffe looks at a smaller giraffe looking by a fence.,2,Is there a smaller giraffe?,yes|no,yes
