id,prompt,ALIGNSCore
7_A racquet in a tennis court._2,A woman holding a racquet on top of a tennis court.,9.75
7_A racquet in a tennis court._3,A woman holding a racquet on top of a tennis court.,11.04
7_A racquet in a tennis court._4,A woman holding a racquet on top of a tennis court.,12.37
7_A tennis court._0,A woman holding a racquet on top of a tennis court.,11.29
7_A tennis court._1,A woman holding a racquet on top of a tennis court.,11.48
7_A tennis court._2,A woman holding a racquet on top of a tennis court.,13.59
7_A tennis court._3,A woman holding a racquet on top of a tennis court.,12.22
7_A tennis court._4,A woman holding a racquet on top of a tennis court.,11.71
7_A woman._0,A woman holding a racquet on top of a tennis court.,5.18
7_A woman._2,A woman holding a racquet on top of a tennis court.,1.62
7_A woman._3,A woman holding a racquet on top of a tennis court.,4.01
7_A racquet._0,A woman holding a racquet on top of a tennis court.,7.81
7_A racquet._1,A woman holding a racquet on top of a tennis court.,7.86
7_A racquet._2,A woman holding a racquet on top of a tennis court.,10.93
7_A racquet._3,A woman holding a racquet on top of a tennis court.,9.91
7_A racquet._4,A woman holding a racquet on top of a tennis court.,10.99
8_two laptops a mouse cords wires and a monitor_0,One laptop a mouse cords wires and a monitor.,14.94
"8_Two laptops, a mouse, cords, and a monitor._2",One laptop a mouse cords wires and a monitor.,16.79
"8_Two laptops, a mouse, cords, and a monitor._3",One laptop a mouse cords wires and a monitor.,17.03
"8_Two laptops, cords, wires, and a monitor._2",One laptop a mouse cords wires and a monitor.,17.52
"8_Two laptops, cords, wires, and a monitor._3",One laptop a mouse cords wires and a monitor.,18.07
"8_Two laptops, a mouse, cords, and wires._2",One laptop a mouse cords wires and a monitor.,17.88
"8_Two laptops, a mouse, cords, and wires._4",One laptop a mouse cords wires and a monitor.,18.77
"8_Two laptops, a mouse, and a monitor._2",One laptop a mouse cords wires and a monitor.,14.64
"8_Two laptops, cords, and wires._0",One laptop a mouse cords wires and a monitor.,16.26
"8_Two laptops, cords, and wires._1",One laptop a mouse cords wires and a monitor.,17.33
"8_Two laptops, cords, and wires._2",One laptop a mouse cords wires and a monitor.,16.25
"8_Two laptops, cords, and wires._3",One laptop a mouse cords wires and a monitor.,17.74
"8_Two laptops, cords, and wires._4",One laptop a mouse cords wires and a monitor.,16.18
"8_Two laptops, a mouse, and wires._0",One laptop a mouse cords wires and a monitor.,14.73
"8_Two laptops, a mouse, and wires._1",One laptop a mouse cords wires and a monitor.,14.92
"8_Two laptops, a mouse, and wires._2",One laptop a mouse cords wires and a monitor.,17.46
"8_Two laptops, cords, and a monitor._2",One laptop a mouse cords wires and a monitor.,15.56
"8_Two laptops, cords, and a monitor._3",One laptop a mouse cords wires and a monitor.,16.51
"8_Two laptops, a mouse, and cords._2",One laptop a mouse cords wires and a monitor.,16.80
"8_Two laptops, a mouse, and cords._3",One laptop a mouse cords wires and a monitor.,17.34
"8_Two laptops, a mouse, and cords._4",One laptop a mouse cords wires and a monitor.,16.54
"8_Two laptops, and a monitor._0",One laptop a mouse cords wires and a monitor.,13.92
"8_Two laptops, and a monitor._2",One laptop a mouse cords wires and a monitor.,12.38
"8_Two laptops, and a monitor._3",One laptop a mouse cords wires and a monitor.,15.03
"8_Two laptops, and a monitor._4",One laptop a mouse cords wires and a monitor.,13.08
"8_Two laptops, and wires._0",One laptop a mouse cords wires and a monitor.,17.90
"8_Two laptops, and wires._1",One laptop a mouse cords wires and a monitor.,18.26
"8_Two laptops, and wires._2",One laptop a mouse cords wires and a monitor.,16.24
"8_Two laptops, and wires._3",One laptop a mouse cords wires and a monitor.,16.61
"8_Two laptops, and wires._4",One laptop a mouse cords wires and a monitor.,17.73
"8_Two laptops, and cords._0",One laptop a mouse cords wires and a monitor.,16.32
"8_Two laptops, and cords._2",One laptop a mouse cords wires and a monitor.,17.14
"8_Two laptops, and cords._3",One laptop a mouse cords wires and a monitor.,16.97
"8_Two laptops, and cords._4",One laptop a mouse cords wires and a monitor.,17.00
8_Two laptops._0,One laptop a mouse cords wires and a monitor.,13.02
8_Two laptops._1,One laptop a mouse cords wires and a monitor.,12.50
8_Two laptops._2,One laptop a mouse cords wires and a monitor.,11.35
8_Two laptops._3,One laptop a mouse cords wires and a monitor.,12.70
8_Two laptops._4,One laptop a mouse cords wires and a monitor.,12.38
8_A mouse._0,One laptop a mouse cords wires and a monitor.,4.93
8_A mouse._1,One laptop a mouse cords wires and a monitor.,4.37
8_A mouse._2,One laptop a mouse cords wires and a monitor.,5.60
8_A mouse._3,One laptop a mouse cords wires and a monitor.,5.47
8_A mouse._4,One laptop a mouse cords wires and a monitor.,4.88
8_Cords._0,One laptop a mouse cords wires and a monitor.,8.24
8_Cords._1,One laptop a mouse cords wires and a monitor.,10.46
8_Cords._2,One laptop a mouse cords wires and a monitor.,3.76
8_Cords._3,One laptop a mouse cords wires and a monitor.,4.87
8_Cords._4,One laptop a mouse cords wires and a monitor.,7.64
8_A monitor._0,One laptop a mouse cords wires and a monitor.,12.66
8_A monitor._1,One laptop a mouse cords wires and a monitor.,6.94
8_A monitor._2,One laptop a mouse cords wires and a monitor.,10.98
8_A monitor._3,One laptop a mouse cords wires and a monitor.,10.60
8_A monitor._4,One laptop a mouse cords wires and a monitor.,11.07
coco_98071_stable_diffusion_v2_1,A young man in a suit and tie with a beer in his hand.,18.76
9_A young man in a suit with a beer in his hand._0,A young man in a suit and tie with a beer in his hand.,17.52
9_A young man in a suit with a beer in his hand._1,A young man in a suit and tie with a beer in his hand.,17.36
9_A young man in a suit with a beer in his hand._2,A young man in a suit and tie with a beer in his hand.,18.51
9_A young man in a suit with a beer in his hand._4,A young man in a suit and tie with a beer in his hand.,18.70
9_A young man in a tie with a beer in his hand._0,A young man in a suit and tie with a beer in his hand.,20.19
9_A young man in a tie with a beer in his hand._1,A young man in a suit and tie with a beer in his hand.,19.32
9_A young man in a tie with a beer in his hand._2,A young man in a suit and tie with a beer in his hand.,17.50
9_A young man in a tie with a beer in his hand._3,A young man in a suit and tie with a beer in his hand.,19.14
9_A young man in a tie with a beer in his hand._4,A young man in a suit and tie with a beer in his hand.,19.75
9_A young man in a suit and tie with a beer._1,A young man in a suit and tie with a beer in his hand.,20.15
9_A young man in a suit and tie with a beer._4,A young man in a suit and tie with a beer in his hand.,19.96
9_A young man with a beer in his hand._0,A young man in a suit and tie with a beer in his hand.,17.48
9_A young man with a beer in his hand._1,A young man in a suit and tie with a beer in his hand.,14.30
9_A young man with a beer in his hand._2,A young man in a suit and tie with a beer in his hand.,14.35
9_A young man with a beer in his hand._3,A young man in a suit and tie with a beer in his hand.,14.76
9_A young man with a beer in his hand._4,A young man in a suit and tie with a beer in his hand.,12.93
9_A young man in a suit and tie._0,A young man in a suit and tie with a beer in his hand.,11.96
9_A young man in a suit and tie._1,A young man in a suit and tie with a beer in his hand.,13.14
9_A young man in a suit and tie._2,A young man in a suit and tie with a beer in his hand.,9.50
9_A young man in a suit and tie._3,A young man in a suit and tie with a beer in his hand.,13.21
9_A young man in a suit and tie._4,A young man in a suit and tie with a beer in his hand.,12.29
9_A young man in a suit with a beer._0,A young man in a suit and tie with a beer in his hand.,19.67
9_A young man in a suit with a beer._2,A young man in a suit and tie with a beer in his hand.,18.97
9_A young man in a suit with a beer._3,A young man in a suit and tie with a beer in his hand.,16.58
9_A young man in a suit with a beer._4,A young man in a suit and tie with a beer in his hand.,18.26
9_A young man in a tie with a beer._0,A young man in a suit and tie with a beer in his hand.,17.07
9_A young man in a tie with a beer._1,A young man in a suit and tie with a beer in his hand.,19.07
9_A young man in a tie with a beer._2,A young man in a suit and tie with a beer in his hand.,15.40
9_A young man in a tie with a beer._3,A young man in a suit and tie with a beer in his hand.,19.46
9_A young man in a tie with a beer._4,A young man in a suit and tie with a beer in his hand.,18.86
9_A young man in a suit._0,A young man in a suit and tie with a beer in his hand.,12.54
9_A young man in a suit._1,A young man in a suit and tie with a beer in his hand.,13.78
9_A young man in a suit._2,A young man in a suit and tie with a beer in his hand.,8.01
9_A young man in a suit._3,A young man in a suit and tie with a beer in his hand.,13.02
9_A young man in a suit._4,A young man in a suit and tie with a beer in his hand.,11.14
9_A young man in a tie._0,A young man in a suit and tie with a beer in his hand.,12.00
9_A young man in a tie._1,A young man in a suit and tie with a beer in his hand.,12.42
9_A young man in a tie._2,A young man in a suit and tie with a beer in his hand.,6.84
9_A young man in a tie._3,A young man in a suit and tie with a beer in his hand.,12.25
9_A young man in a tie._4,A young man in a suit and tie with a beer in his hand.,12.35
9_A young man with a beer._0,A young man in a suit and tie with a beer in his hand.,18.40
9_A young man with a beer._1,A young man in a suit and tie with a beer in his hand.,14.60
9_A young man with a beer._2,A young man in a suit and tie with a beer in his hand.,10.84
9_A young man with a beer._3,A young man in a suit and tie with a beer in his hand.,14.76
9_A young man with a beer._4,A young man in a suit and tie with a beer in his hand.,14.64
9_A beer in his hand._0,A young man in a suit and tie with a beer in his hand.,9.07
9_A beer in his hand._1,A young man in a suit and tie with a beer in his hand.,12.85
9_A beer in his hand._2,A young man in a suit and tie with a beer in his hand.,12.28
9_A beer in his hand._3,A young man in a suit and tie with a beer in his hand.,13.61
9_A beer in his hand._4,A young man in a suit and tie with a beer in his hand.,12.65
9_A suit and tie._0,A young man in a suit and tie with a beer in his hand.,7.52
9_A suit and tie._1,A young man in a suit and tie with a beer in his hand.,9.23
9_A suit and tie._3,A young man in a suit and tie with a beer in his hand.,9.67
9_A suit and tie._4,A young man in a suit and tie with a beer in his hand.,8.12
9_A young man._0,A young man in a suit and tie with a beer in his hand.,11.26
9_A young man._1,A young man in a suit and tie with a beer in his hand.,5.11
9_A young man._2,A young man in a suit and tie with a beer in his hand.,3.78
9_A young man._3,A young man in a suit and tie with a beer in his hand.,6.92
9_A young man._4,A young man in a suit and tie with a beer in his hand.,10.49
9_A suit._0,A young man in a suit and tie with a beer in his hand.,7.62
9_A suit._1,A young man in a suit and tie with a beer in his hand.,9.59
9_A suit._2,A young man in a suit and tie with a beer in his hand.,9.90
9_A suit._3,A young man in a suit and tie with a beer in his hand.,9.48
9_A suit._4,A young man in a suit and tie with a beer in his hand.,7.69
9_A tie._3,A young man in a suit and tie with a beer in his hand.,7.37
9_A tie._4,A young man in a suit and tie with a beer in his hand.,8.75
9_A beer._0,A young man in a suit and tie with a beer in his hand.,9.06
9_A beer._1,A young man in a suit and tie with a beer in his hand.,9.40
9_A beer._2,A young man in a suit and tie with a beer in his hand.,7.93
9_A beer._3,A young man in a suit and tie with a beer in his hand.,5.17
9_A hand._0,A young man in a suit and tie with a beer in his hand.,1.92
9_A hand._1,A young man in a suit and tie with a beer in his hand.,-0.41
9_A hand._2,A young man in a suit and tie with a beer in his hand.,2.07
9_A hand._3,A young man in a suit and tie with a beer in his hand.,2.25
9_A hand._4,A young man in a suit and tie with a beer in his hand.,2.28
coco_144234_stable_diffusion_v2_1,A man is eating a loaded hot dog with people around him.,19.46
10_A man is eating a loaded hot dog with people around him in a line._0,A man is eating a loaded hot dog with people around him.,15.54
10_A man is eating a loaded hot dog with people around him in a line._1,A man is eating a loaded hot dog with people around him.,19.79
10_A man is eating a loaded hot dog with people around him in a line._2,A man is eating a loaded hot dog with people around him.,20.62
10_A man is eating a loaded hot dog with people around him in a line._3,A man is eating a loaded hot dog with people around him.,19.93
10_A man is eating a loaded hot dog with people around him in a line._4,A man is eating a loaded hot dog with people around him.,20.40
10_A man is eating a loaded hot dog with people around him._0,A man is eating a loaded hot dog with people around him.,17.46
10_A man is eating a loaded hot dog with people around him._1,A man is eating a loaded hot dog with people around him.,18.84
10_A man is eating a loaded hot dog with people around him._2,A man is eating a loaded hot dog with people around him.,20.01
10_A man is eating a loaded hot dog with people around him._3,A man is eating a loaded hot dog with people around him.,19.00
10_A man is eating a loaded hot dog with people around him._4,A man is eating a loaded hot dog with people around him.,18.51
10_A man is eating a loaded hot dog in a line._0,A man is eating a loaded hot dog with people around him.,15.83
10_A man is eating a loaded hot dog in a line._3,A man is eating a loaded hot dog with people around him.,17.44
10_Eating a loaded hot dog with people around in a line._0,A man is eating a loaded hot dog with people around him.,17.58
10_Eating a loaded hot dog with people around in a line._1,A man is eating a loaded hot dog with people around him.,17.84
10_Eating a loaded hot dog with people around in a line._2,A man is eating a loaded hot dog with people around him.,18.25
10_Eating a loaded hot dog with people around in a line._3,A man is eating a loaded hot dog with people around him.,18.98
10_Eating a loaded hot dog with people around in a line._4,A man is eating a loaded hot dog with people around him.,19.09
10_A man with people around him in a line._0,A man is eating a loaded hot dog with people around him.,2.87
10_A man with people around him in a line._1,A man is eating a loaded hot dog with people around him.,3.68
10_A man with people around him in a line._2,A man is eating a loaded hot dog with people around him.,5.06
10_A man with people around him in a line._3,A man is eating a loaded hot dog with people around him.,6.52
10_A man with people around him in a line._4,A man is eating a loaded hot dog with people around him.,7.43
10_A man is eating a loaded hot dog._0,A man is eating a loaded hot dog with people around him.,15.53
10_A man is eating a loaded hot dog._1,A man is eating a loaded hot dog with people around him.,15.87
10_A man is eating a loaded hot dog._2,A man is eating a loaded hot dog with people around him.,17.40
10_A man is eating a loaded hot dog._3,A man is eating a loaded hot dog with people around him.,15.04
10_A man is eating a loaded hot dog._4,A man is eating a loaded hot dog with people around him.,18.45
10_People around him in a line._0,A man is eating a loaded hot dog with people around him.,6.02
10_People around him in a line._1,A man is eating a loaded hot dog with people around him.,4.11
10_People around him in a line._2,A man is eating a loaded hot dog with people around him.,5.27
10_People around him in a line._3,A man is eating a loaded hot dog with people around him.,6.64
10_People around him in a line._4,A man is eating a loaded hot dog with people around him.,6.93
10_A man with people around him._0,A man is eating a loaded hot dog with people around him.,8.08
10_A man with people around him._1,A man is eating a loaded hot dog with people around him.,6.42
10_A man with people around him._2,A man is eating a loaded hot dog with people around him.,7.58
10_A man with people around him._3,A man is eating a loaded hot dog with people around him.,8.48
10_A man with people around him._4,A man is eating a loaded hot dog with people around him.,7.38
10_A man in a line._0,A man is eating a loaded hot dog with people around him.,1.61
10_A man in a line._1,A man is eating a loaded hot dog with people around him.,2.09
10_A man in a line._2,A man is eating a loaded hot dog with people around him.,2.17
10_A man in a line._4,A man is eating a loaded hot dog with people around him.,1.69
10_A man is eating._0,A man is eating a loaded hot dog with people around him.,12.04
10_A man is eating._1,A man is eating a loaded hot dog with people around him.,11.49
10_A man is eating._2,A man is eating a loaded hot dog with people around him.,13.45
10_A man is eating._3,A man is eating a loaded hot dog with people around him.,10.88
10_A man is eating._4,A man is eating a loaded hot dog with people around him.,11.53
10_Eating a loaded hot dog._2,A man is eating a loaded hot dog with people around him.,13.49
10_Eating a loaded hot dog._4,A man is eating a loaded hot dog with people around him.,8.90
10_People._0,A man is eating a loaded hot dog with people around him.,4.29
10_People._3,A man is eating a loaded hot dog with people around him.,1.57
10_People._4,A man is eating a loaded hot dog with people around him.,5.98
coco_680517_stable_diffusion_v2_1,A man in a wet suit is surfing.,16.18
11_A man is surfing._0,A man in a wet suit is surfing.,15.98
11_A man is surfing._1,A man in a wet suit is surfing.,15.19
11_A man is surfing._2,A man in a wet suit is surfing.,14.55
11_A man is surfing._3,A man in a wet suit is surfing.,15.82
11_A man is surfing._4,A man in a wet suit is surfing.,14.81
11_A man in a wet suit._0,A man in a wet suit is surfing.,18.16
11_A man in a wet suit._1,A man in a wet suit is surfing.,14.51
11_A man in a wet suit._2,A man in a wet suit is surfing.,16.02
11_A man in a wet suit._3,A man in a wet suit is surfing.,16.73
11_A man in a wet suit._4,A man in a wet suit is surfing.,14.43
13_A man._3,A man in a wet suit is surfing.,3.62
13_A man._4,A man in a wet suit is surfing.,1.70
coco_292534_stable_diffusion_v2_1,A red motorcycle parked by paint chipped doors.,17.55
12_A red motorcycle._0,A red motorcycle parked by paint chipped doors.,13.65
12_A red motorcycle._1,A red motorcycle parked by paint chipped doors.,14.88
12_A red motorcycle._2,A red motorcycle parked by paint chipped doors.,14.44
12_A red motorcycle._3,A red motorcycle parked by paint chipped doors.,16.17
12_A red motorcycle._4,A red motorcycle parked by paint chipped doors.,17.33
12_Paint chipped doors._0,A red motorcycle parked by paint chipped doors.,13.52
12_Paint chipped doors._1,A red motorcycle parked by paint chipped doors.,9.47
12_Paint chipped doors._2,A red motorcycle parked by paint chipped doors.,11.15
12_Paint chipped doors._3,A red motorcycle parked by paint chipped doors.,12.43
12_Paint chipped doors._4,A red motorcycle parked by paint chipped doors.,8.56
coco_655658_stable_diffusion_v2_1,A man in a black shirt plays on an ocean wave.,18.57
13_A man plays on an ocean wave._0,A man in a black shirt plays on an ocean wave.,15.30
13_A man plays on an ocean wave._1,A man in a black shirt plays on an ocean wave.,13.29
13_A man plays on an ocean wave._2,A man in a black shirt plays on an ocean wave.,12.90
13_A man plays on an ocean wave._3,A man in a black shirt plays on an ocean wave.,14.71
13_A man plays on an ocean wave._4,A man in a black shirt plays on an ocean wave.,13.78
13_A man in a black shirt plays._0,A man in a black shirt plays on an ocean wave.,10.00
13_A man in a black shirt plays._1,A man in a black shirt plays on an ocean wave.,8.87
13_A man in a black shirt plays._2,A man in a black shirt plays on an ocean wave.,10.95
13_A man in a black shirt plays._3,A man in a black shirt plays on an ocean wave.,7.43
13_A man in a black shirt plays._4,A man in a black shirt plays on an ocean wave.,7.98
13_A man._3,A man in a black shirt plays on an ocean wave.,1.06
13_A man._4,A man in a black shirt plays on an ocean wave.,2.08
13_A black shirt._1,A man in a black shirt plays on an ocean wave.,4.37
13_A black shirt._2,A man in a black shirt plays on an ocean wave.,10.12
13_A black shirt._4,A man in a black shirt plays on an ocean wave.,7.57
13_An ocean wave._0,A man in a black shirt plays on an ocean wave.,9.65
13_An ocean wave._1,A man in a black shirt plays on an ocean wave.,9.53
13_An ocean wave._2,A man in a black shirt plays on an ocean wave.,9.52
13_An ocean wave._3,A man in a black shirt plays on an ocean wave.,10.03
13_An ocean wave._4,A man in a black shirt plays on an ocean wave.,9.34
coco_573015_stable_diffusion_v2_1,The people are flying the kites,16.39
14_The people are flying the kites._0,The people are flying the kites,19.74
